runtimeMinutes,numVotes,label,director_id,writer_id,Year,title_language,sentiment_score,word_count,tomatometer_rating,audience_rating
67,87784,True,967,7680,1926,6,0.05000000000000002,2,82.0,81.0
95,1080,True,2836,5645,1935,9,0.7,1,81.0,89.0
160,2081,True,199,5315,1927,6,0.0,4,67.0,63.0
85,13335,True,3319,8934,1927,5,0.0,5,67.0,63.0
330,7622,True,1680,3128,1927,10,0.0,1,67.0,63.0
110,3499,True,890,5980,1927,6,0.0,2,67.0,63.0
106,1459,True,2648,5709,1927,5,0.1,6,67.0,63.0
80,2912,True,4089,8434,1927,10,0.0,1,31.0,79.0
63,7850,True,963,6939,1927,6,-0.1,2,67.0,63.0
144,13335,True,1276,5892,1927,5,0.0,1,93.0,78.0
100,1093,True,4177,8245,1928,6,0.0,3,67.0,63.0
76,11388,True,6,5892,1928,6,0.0,2,67.0,63.0
72,32601,True,24,23,1928,31,0.0,2,96.0,94.0
98,8197,True,4067,1051,1928,6,0.0,2,67.0,63.0
69,2231,True,1556,6846,1928,18,0.0,1,67.0,63.0
83,3695,True,4067,7757,1928,6,0.0,2,67.0,63.0
85,3613,True,4203,7680,1928,17,0.0,1,100.0,89.0
102,2314,True,890,7978,1928,17,0.0,2,67.0,63.0
90,1530,True,2789,8331,1929,5,0.0,1,67.0,63.0
76,2127,False,3922,8073,1929,10,0.0,1,67.0,63.0
95,1049,False,1258,7680,1928,6,0.1,3,56.0,38.0
100,1308,True,890,8250,1929,2,0.3333333333333333,2,67.0,63.0
101,3226,True,359,3322,1932,9,0.0,2,100.0,78.0
77,3199,True,412,3923,1930,6,0.0,2,67.0,63.0
88,1102,True,350,328,1929,20,0.0,3,67.0,63.0
85,2275,False,5,6887,1929,6,0.0,4,67.0,63.0
63,13335,True,3813,3338,1937,10,0.0,5,67.0,63.0
96,2214,True,1151,1930,1930,10,0.0,5,67.0,63.0
91,4105,True,3416,5931,1931,10,0.0,2,67.0,63.0
70,69780,True,311,7140,1931,5,0.0,1,100.0,35.0
117,152166,True,89,4186,1931,5,0.0,1,100.0,95.0
130,2251,True,2377,6309,1931,15,0.0,1,67.0,63.0
85,13335,False,5,6887,1931,6,-0.4,3,38.0,17.0
80,1738,True,4067,6903,1931,17,0.0,2,67.0,63.0
86,5639,True,412,8285,1931,6,0.0,7,67.0,63.0
90,1364,True,3155,6115,1931,22,0.0,2,67.0,63.0
81,2828,True,311,6846,1931,17,0.0,2,80.0,89.0
104,4392,True,1151,1930,1931,10,0.0,4,67.0,63.0
75,1996,True,181,6943,1932,6,0.0,2,67.0,63.0
115,1409,True,800,4864,1932,6,0.0,2,67.0,63.0
75,1232,True,1828,8927,1932,6,-0.15,3,97.0,77.0
64,44794,True,963,8805,1932,8,0.0,1,88.0,86.0
72,10558,True,311,7520,1932,6,-0.024999999999999994,4,96.0,72.0
78,2389,True,327,5405,1932,6,0.0,4,67.0,63.0
110,4225,False,5,8305,1931,6,0.0,3,67.0,63.0
83,14090,True,2648,625,1932,6,-0.2,3,67.0,63.0
100,5332,True,3155,6297,1932,31,0.0,4,67.0,63.0
75,17361,True,401,388,1932,15,0.0,1,67.0,63.0
88,2294,True,327,7861,1932,31,0.0,3,67.0,63.0
85,1432,True,1231,3116,1933,20,0.0,4,67.0,63.0
112,5038,False,2612,312,1933,1,0.0,1,59.0,26.0
100,1306,True,3155,6297,1933,11,0.0,2,67.0,63.0
90,1904,True,3466,7394,1933,6,0.0,2,67.0,63.0
69,59069,True,2805,6482,1933,6,0.0,2,92.0,91.0
73,13335,True,4112,7276,1933,31,0.0,5,67.0,63.0
75,13335,True,1351,1298,1933,12,0.0,2,67.0,63.0
95,1733,False,3820,5284,1933,5,0.0,5,67.0,63.0
68,1261,True,3878,3817,1933,6,0.0,2,67.0,63.0
71,33562,True,311,8836,1933,6,0.0,3,91.0,88.0
70,9091,True,2289,8612,1932,31,0.0,4,67.0,63.0
100,83177,True,3610,3404,1933,28,0.0,2,84.0,50.0
115,13335,True,327,8263,1933,6,-0.1875,2,30.0,70.0
99,7647,True,2715,8626,1933,6,0.0,2,90.0,84.0
70,4501,False,3610,7055,1933,6,0.0,3,36.0,28.0
70,1448,True,3449,8542,1933,6,0.0,5,67.0,63.0
89,15408,True,4072,8390,1934,1,0.0,1,100.0,89.0
77,6625,True,3466,4916,1934,6,0.0,5,67.0,63.0
54,1546,False,908,1391,1934,0,0.0,2,75.0,35.0
93,1249,True,4046,8340,1934,27,0.0,1,67.0,63.0
91,2038,True,166,5203,1934,5,0.0,1,60.0,65.0
107,13335,True,3561,6807,1934,6,0.4166666666666667,3,93.0,82.0
68,5252,True,2830,8635,1934,6,0.0,3,67.0,63.0
80,1277,True,1901,5006,1934,5,-0.1875,3,67.0,63.0
55,13335,False,908,1391,1934,6,0.3333333333333333,3,67.0,63.0
55,1108,False,908,6374,1934,6,0.0,4,67.0,63.0
93,13335,True,4036,7865,1934,26,-0.3,2,81.0,71.0
84,1766,True,3416,2668,1935,6,0.0,1,67.0,63.0
114,16974,True,3430,9711,1935,5,0.0,5,67.0,63.0
86,55071,True,5,1057,1935,6,0.0,3,96.0,86.0
84,1074,False,2715,5801,1935,2,-0.125,2,67.0,63.0
53,1147,False,908,8196,1935,6,0.0,3,67.0,63.0
98,1383,True,4254,351,1935,6,0.7,3,67.0,63.0
91,6255,True,74,6185,1935,6,0.0,2,94.0,77.0
128,5596,True,1204,11411,1935,6,0.0,5,92.0,84.0
80,1362,True,3155,6297,1935,24,0.0,4,67.0,63.0
93,2665,True,74,1572,1935,6,0.2,4,100.0,78.0
115,4793,True,328,5009,1936,6,0.4,6,67.0,63.0
70,1461,True,2077,1201,1936,6,0.0,6,67.0,63.0
80,13335,True,3416,6879,1936,10,0.0,5,67.0,63.0
101,8817,True,4254,8833,1936,31,0.0,1,90.0,86.0
92,12115,True,89,4720,1936,5,0.0,1,76.0,84.0
80,1219,False,4036,100,1936,6,0.5,4,80.0,61.0
87,231243,True,24,23,1936,5,0.2,2,100.0,95.0
71,2253,True,392,4114,1936,12,0.0,2,67.0,63.0
71,3077,True,2447,10214,1936,10,0.0,2,67.0,63.0
82,13452,True,2794,7525,1936,6,0.0,3,100.0,79.0
96,2159,True,74,4289,1936,6,0.0,5,67.0,63.0
76,16166,True,5,2705,1936,28,0.0,1,22.0,36.0
115,5371,True,4036,5378,1936,7,0.0,2,100.0,70.0
113,3236,True,311,621,1936,6,0.0,2,89.0,71.0
87,1323,True,3645,7518,1936,31,0.0,1,67.0,63.0
103,13335,True,3835,8890,1936,28,0.0,2,97.0,87.0
66,8480,False,1698,3012,1936,5,0.0,2,67.0,63.0
94,2458,True,873,12062,1936,6,0.1,3,67.0,63.0
91,2698,True,2648,5196,1937,12,0.0,1,67.0,63.0
109,7823,True,327,8734,1936,10,0.0,1,93.0,83.0
71,13335,True,2077,1201,1937,6,0.0,5,67.0,63.0
111,13606,True,4242,8734,1937,6,0.0,5,94.0,89.0
93,13335,True,4254,4585,1937,6,-0.2,2,91.0,76.0
88,3417,True,2533,1746,1937,6,0.43333333333333335,2,78.0,76.0
138,4801,True,1591,5416,1937,6,0.7,3,95.0,76.0
116,13335,True,1397,4318,1937,6,0.0,5,82.0,73.0
91,8144,True,2805,6974,1937,6,0.0,4,67.0,63.0
88,10183,True,2229,8094,1940,6,0.5,3,85.0,82.0
116,2497,True,3947,8315,1937,6,0.0,3,67.0,63.0
86,1995,True,4263,5769,1937,6,0.0,4,67.0,63.0
118,2482,True,1397,2203,1937,6,0.0,5,67.0,63.0
101,13335,True,4036,4030,1937,6,0.0,4,100.0,80.0
106,5254,True,4067,1200,1937,14,0.0,2,67.0,63.0
95,1644,True,2551,4364,1937,6,0.0,3,67.0,63.0
66,8109,True,2051,4299,1937,6,0.0,3,67.0,63.0
91,1967,True,3918,6044,1938,6,0.0,5,67.0,63.0
112,11088,True,209,6415,1938,29,0.0,2,67.0,63.0
96,5544,True,3918,5774,1938,6,0.0,2,90.0,81.0
102,59515,True,229,8691,1938,28,0.0,3,93.0,89.0
100,7375,True,3416,10043,1938,10,0.0,3,67.0,63.0
110,2066,True,4067,2148,1938,12,0.0,2,89.0,72.0
133,1991,True,3160,6309,1938,6,0.0,3,67.0,63.0
95,15746,True,327,972,1938,31,0.0,1,100.0,89.0
95,2613,True,1051,856,1938,10,0.0,3,67.0,63.0
96,50707,True,5,4912,1938,6,0.0,3,98.0,88.0
121,4727,True,3430,6928,1938,6,0.0,7,67.0,63.0
96,8475,True,350,8496,1938,28,0.0,1,67.0,63.0
91,13335,True,1051,6693,1938,6,0.0,3,67.0,63.0
90,1332,True,3304,1091,1938,6,0.1,4,67.0,63.0
85,6616,True,4182,2538,1939,6,0.0,5,67.0,63.0
112,13335,True,4177,8817,1939,5,0.0,2,100.0,85.0
72,2967,True,3089,8705,1939,6,0.0,5,94.0,74.0
71,1366,True,1615,1201,1939,17,0.0,4,67.0,63.0
104,10794,True,1809,1260,1939,6,-0.15,2,88.0,81.0
95,11094,True,2747,1018,1939,6,0.0,3,96.0,82.0
104,5061,True,328,1538,1939,6,0.0,2,100.0,74.0
129,5917,True,2378,8752,1939,6,0.0,3,41.0,65.0
238,303845,True,1591,8315,1939,6,0.0,4,67.0,63.0
114,10311,True,4242,3925,1939,6,0.0,3,100.0,71.0
66,1426,False,1471,7592,1939,6,0.0,2,67.0,63.0
117,11628,True,3835,8348,1939,28,0.0,2,92.0,74.0
94,2978,True,1246,1438,1939,6,0.0,3,67.0,63.0
106,4361,True,2324,5191,1939,10,0.0,2,67.0,63.0
93,5980,True,3645,1571,1939,6,-0.1875,3,88.0,81.0
94,4904,True,2533,7366,1939,6,0.0,1,67.0,63.0
95,3676,True,1809,8642,1939,6,0.1,3,67.0,63.0
99,1896,True,976,8540,1939,6,0.0,3,67.0,63.0
121,13595,True,229,6784,1939,6,0.0,4,100.0,82.0
62,2157,False,3687,5345,1939,6,0.0,5,67.0,63.0
106,13611,True,4119,8467,1939,6,0.0,3,100.0,89.0
99,9957,True,2525,2068,1939,0,0.0,3,95.0,71.0
96,46868,True,74,3809,1939,6,0.0,1,100.0,86.0
135,2941,True,199,6807,1939,6,0.0,2,67.0,63.0
102,382348,True,327,7592,1939,6,0.0,4,98.0,89.0
133,13466,True,327,7865,1939,6,0.0,2,92.0,88.0
79,13335,True,2747,7452,1939,6,0.6,6,67.0,63.0
100,7926,True,74,8224,1939,31,0.1,3,100.0,81.0
143,3600,True,392,4114,1939,28,0.0,6,67.0,63.0
110,1792,True,1246,4303,1940,14,0.0,4,83.0,71.0
102,13335,True,3918,7592,1940,6,0.0,4,67.0,63.0
67,1365,True,1615,2410,1940,6,0.0,4,67.0,63.0
67,3706,True,369,351,1940,6,0.0,3,67.0,63.0
62,3834,True,1808,4916,1939,6,0.0,4,67.0,63.0
68,2946,False,4268,1443,1940,6,0.0,3,58.0,31.0
107,1600,True,958,1601,1940,6,0.0,3,67.0,63.0
120,19974,True,5,5334,1940,20,-0.125,2,95.0,81.0
85,3378,True,2747,3333,1940,6,0.0,3,67.0,63.0
99,3232,True,4036,4765,1940,10,0.5,4,100.0,82.0
98,3135,False,1926,11491,1940,5,0.0,2,67.0,63.0
95,12714,True,4254,4653,1940,6,0.0,2,100.0,82.0
94,9918,True,2715,2175,1940,6,0.0,4,91.0,79.0
65,1235,True,2447,1201,1940,5,0.13636363636363635,4,67.0,63.0
112,66874,True,327,7217,1940,6,0.0,3,100.0,93.0
88,138477,True,2328,8050,1940,14,0.0,1,100.0,73.0
118,8057,True,2548,8315,1940,21,0.0,3,86.0,89.0
94,5343,True,2533,351,1940,6,0.0,3,67.0,63.0
56,2766,True,1437,4916,1940,6,0.0,3,67.0,63.0
99,30968,True,2648,3809,1940,6,0.0,5,100.0,91.0
106,12840,True,404,11,1940,6,0.0,4,96.0,82.0
100,5663,True,4254,6089,1940,5,0.0,2,67.0,63.0
216,1268,True,4231,11204,1941,6,0.0,4,67.0,63.0
111,12007,True,229,5849,1941,6,0.0,3,100.0,90.0
86,2011,True,958,8325,1941,6,0.13636363636363635,4,67.0,63.0
107,4908,True,1397,8195,1941,6,0.0,5,67.0,63.0
92,3991,True,4242,4720,1941,6,0.0,5,100.0,81.0
108,3811,True,1809,935,1941,6,0.8,3,60.0,71.0
100,16322,True,4119,1572,1941,5,0.16,2,90.0,78.0
116,2358,True,2533,6827,1941,6,0.0,4,67.0,63.0
86,3699,True,2647,3448,1941,6,0.0,3,67.0,63.0
90,1502,True,2385,4746,1941,6,0.0,4,67.0,63.0
107,2986,True,2551,3446,1941,6,0.0,2,67.0,63.0
67,2150,False,4268,4489,1941,6,0.0,4,67.0,63.0
91,1282,True,4066,6468,1941,10,0.0,3,67.0,63.0
116,11473,True,4254,1653,1941,6,-0.1875,3,100.0,88.0
100,13335,True,240,3672,1941,6,0.0,3,100.0,91.0
105,5231,True,89,8224,1941,13,0.0,2,92.0,75.0
112,7446,True,2271,3741,1942,6,0.0,6,67.0,63.0
71,2315,True,1168,202,1941,6,-0.3,7,67.0,63.0
100,3661,True,328,5187,1941,31,0.0,3,100.0,76.0
65,1688,False,491,3840,1941,0,0.1,3,67.0,63.0
86,1552,True,2077,7762,1941,7,0.0,3,67.0,63.0
70,25976,True,4100,7626,1941,6,0.0,3,90.0,80.0
84,3115,True,1170,1959,1942,12,0.0,6,67.0,63.0
84,2653,True,198,10359,1944,14,0.0,5,67.0,63.0
64,13335,False,3062,10009,1942,6,-0.16666666666666666,2,67.0,63.0
61,1090,False,1618,6975,1942,31,0.0,3,40.0,17.0
73,13335,True,3976,1294,1942,6,0.0,2,61.0,46.0
119,2249,True,2888,8801,1943,12,0.0,3,55.0,49.0
85,6214,True,1967,3672,1942,6,0.0,3,67.0,63.0
100,14436,True,3561,7965,1942,24,0.0,2,100.0,86.0
97,4742,True,240,3314,1942,6,0.0,4,67.0,63.0
115,5549,True,326,312,1942,6,0.0,4,89.0,76.0
127,4336,True,4242,1068,1942,6,0.0,2,100.0,76.0
77,1720,False,3046,5987,1942,6,-0.625,3,67.0,63.0
88,13335,True,14,5924,1942,6,1.0,3,89.0,85.0
78,1378,True,3977,6064,1943,6,0.0,3,67.0,63.0
134,17125,True,4254,8690,1942,6,0.0,2,93.0,85.0
117,16397,True,3367,6688,1942,6,0.0,2,93.0,90.0
128,10584,True,4242,6977,1942,6,0.0,5,93.0,89.0
121,1192,True,3421,7246,1942,6,0.0,5,67.0,63.0
118,8004,True,3835,3713,1942,6,0.0,5,94.0,84.0
92,3549,True,1070,5314,1942,10,0.0,4,93.0,92.0
81,9003,True,4013,8259,1942,31,0.0,4,93.0,82.0
99,34514,True,2648,5234,1942,6,0.0,6,67.0,63.0
114,9842,True,3835,5333,1942,6,0.0,4,89.0,80.0
64,1287,False,759,7253,1943,6,0.0,3,67.0,63.0
92,9612,True,1170,1959,1943,10,0.0,2,67.0,63.0
67,13335,False,759,3899,1943,6,-0.07692307692307693,4,67.0,63.0
134,5268,True,89,8641,1943,5,0.0,3,85.0,68.0
112,10637,True,2648,1588,1943,17,0.0,3,85.0,75.0
89,5312,True,4202,4638,1943,10,0.0,3,94.0,75.0
45,1606,True,4254,8834,1944,6,0.0,9,67.0,63.0
110,13335,True,4084,6800,1943,6,0.0,5,92.0,82.0
110,3399,True,3687,3430,1943,20,0.1,2,67.0,63.0
87,4833,True,3737,8808,1944,6,0.0,2,89.0,72.0
108,63245,True,5,5580,1943,6,0.0,4,100.0,89.0
156,13335,True,2324,8622,1943,6,0.0,4,87.0,80.0
127,1863,True,996,7370,1943,6,0.3333333333333333,4,67.0,63.0
121,1125,False,328,2738,1943,6,0.0,4,67.0,63.0
118,69184,True,181,4530,1943,6,0.1,4,81.0,92.0
72,1823,False,4024,3214,1944,6,0.0,1,100.0,38.0
71,1101,False,3737,2255,1944,20,0.0,2,67.0,63.0
107,151373,True,123,1633,1944,6,0.0,2,97.0,95.0
114,27003,True,327,3667,1944,6,0.0,1,100.0,75.0
124,2160,True,1307,2269,1944,17,0.0,2,67.0,63.0
85,2308,True,1151,2984,1944,6,0.0,3,67.0,63.0
88,45504,True,3306,4883,1944,10,0.0,1,100.0,90.0
97,28060,True,5,3809,1944,21,0.0,1,92.0,87.0
95,3530,True,3031,294,1944,6,0.0,4,67.0,63.0
113,22805,True,2905,13775,1944,17,0.0,5,67.0,63.0
86,7600,True,89,215,1944,6,0.0,3,67.0,63.0
98,7330,True,369,351,1944,6,0.0,5,89.0,83.0
62,1075,False,3046,6182,1944,6,0.0,3,67.0,63.0
95,12955,True,1415,1805,1944,0,0.35,3,94.0,87.0
75,1208,False,2814,7466,1944,31,0.5,4,67.0,63.0
112,2182,True,692,2492,1944,6,0.0,3,67.0,63.0
115,3263,True,34,312,1944,6,0.8,3,67.0,63.0
99,10837,True,606,5288,1944,10,0.0,2,32.0,49.0
107,15428,True,89,8489,1944,31,0.0,5,67.0,63.0
115,2845,True,3367,8711,1945,6,-0.2,4,67.0,63.0
86,4227,True,177,1965,1945,10,0.0,6,67.0,63.0
91,3064,True,1246,6553,1945,6,0.0,3,67.0,63.0
101,1544,True,1397,5493,1945,18,0.5,2,67.0,63.0
111,24727,True,328,8726,1945,6,0.0,2,86.0,90.0
76,1957,True,4268,1512,1945,6,-0.15000000000000002,3,67.0,63.0
120,1435,True,1307,2269,1945,6,0.0,4,67.0,63.0
102,15930,True,89,6089,1945,6,0.0,2,100.0,88.0
92,3273,True,3416,4289,1945,6,0.0,2,92.0,79.0
108,3217,True,4177,6713,1945,6,0.0,4,67.0,63.0
109,1485,True,350,6696,1945,6,0.0,4,67.0,63.0
96,25773,True,1174,2306,1946,10,0.0,4,71.0,80.0
114,83357,True,229,1805,1946,6,0.0,3,67.0,26.0
58,1376,False,4268,876,1946,6,0.0,3,67.0,63.0
110,31218,True,4066,3809,1946,29,0.0,1,92.0,88.0
91,4784,True,1748,3548,1946,4,-0.2,3,73.0,84.0
102,3941,True,3708,6784,1946,6,0.0,3,100.0,82.0
85,2567,True,919,992,1946,6,0.0,2,67.0,63.0
104,21218,True,415,6655,1946,6,0.0,3,67.0,63.0
97,22867,True,74,4836,1946,6,0.0,3,100.0,86.0
102,13335,True,5,6204,1946,6,0.0,1,52.0,65.0
126,8176,True,3488,6644,1946,28,0.0,1,67.0,63.0
99,1874,True,1469,7595,1946,10,0.0,1,67.0,63.0
113,13335,True,1695,1633,1946,6,0.0,5,79.0,59.0
103,25426,True,3488,2048,1945,14,0.0,3,67.0,63.0
87,7138,True,198,8936,1946,25,0.0,1,67.0,63.0
110,2811,True,104,7900,1946,6,0.0,4,89.0,62.0
83,9752,True,3737,8657,1946,6,0.0,3,67.0,63.0
95,25729,True,14,229,1946,6,0.0,2,96.0,81.0
106,1250,True,392,4114,1946,6,0.0,5,67.0,63.0
85,1132,False,2922,8882,1946,6,0.0,2,67.0,63.0
88,13335,True,251,6291,1947,13,0.0,1,80.0,63.0
98,9895,True,1306,6401,1947,21,0.0,2,94.0,87.0
86,8262,True,1415,1485,1947,6,0.0,1,82.0,74.0
106,19034,True,1307,3386,1947,4,-0.15,2,93.0,82.0
100,7368,True,1246,1194,1947,5,-0.2,2,67.0,66.0
97,2514,True,3296,8831,1947,6,0.0,3,67.0,63.0
118,15804,True,251,236,1947,17,0.0,2,76.0,78.0
104,18151,True,104,2445,1947,6,0.0,5,100.0,88.0
116,4432,True,1351,5434,1947,6,0.0,5,67.0,63.0
99,8064,True,1948,2600,1947,6,0.0,3,88.0,76.0
118,5222,True,328,2155,1947,6,0.0,3,67.0,63.0
124,16962,True,24,13,1947,10,0.0,2,97.0,88.0
72,13335,True,3155,6297,1947,6,0.0,5,67.0,63.0
110,8908,True,1809,3500,1947,6,0.0,2,100.0,87.0
128,1034,True,3464,2346,1948,7,0.0,3,67.0,63.0
95,1260,True,319,294,1947,6,0.0,3,67.0,63.0
116,9778,True,3387,7520,1947,3,-0.16666666666666666,3,100.0,86.0
101,3148,True,4119,1586,1947,7,0.0,1,67.0,63.0
101,2926,True,2935,3731,1947,6,-0.1,4,100.0,85.0
87,4782,True,2849,5676,1949,10,0.0,5,67.0,63.0
101,1539,True,1070,4870,1947,14,-0.4,4,67.0,63.0
83,17153,True,743,7876,1948,17,0.0,5,89.0,85.0
103,9453,True,4122,1326,1948,20,-0.25,2,91.0,86.0
100,1142,True,3404,3335,1948,6,0.0,1,67.0,63.0
95,8372,True,3387,8090,1948,6,0.0,3,100.0,88.0
79,5714,True,4182,2757,1948,6,0.0,4,86.0,60.0
102,4659,True,3031,3721,1948,3,0.0,2,89.0,88.0
100,39422,True,240,731,1948,13,0.0,2,97.0,88.0
89,157331,True,198,3551,1948,6,0.0,2,67.0,63.0
87,29121,True,14,5423,1947,6,0.0,4,67.0,63.0
87,11921,True,3131,6243,1948,6,-0.1,5,67.0,63.0
94,13335,False,2753,5461,1948,6,0.0,3,67.0,63.0
116,12121,True,34,8496,1948,10,0.0,2,100.0,84.0
86,6688,True,1397,3809,1948,6,0.0,3,67.0,63.0
133,30065,True,229,7338,1948,10,0.0,2,100.0,87.0
135,33425,True,415,400,1948,6,0.0,3,97.0,92.0
108,4052,True,1330,5846,1949,5,-0.1,2,67.0,63.0
83,2332,True,2474,2266,1948,18,0.25,2,67.0,63.0
91,2910,True,2271,2711,1948,6,0.0,5,67.0,63.0
160,4876,True,4077,8410,1948,1,0.0,3,67.0,63.0
95,7917,True,3378,722,1948,6,0.13636363636363635,4,67.0,63.0
126,120830,True,240,8209,1948,6,0.0,6,100.0,93.0
117,1422,True,350,3537,1948,6,0.0,3,97.0,77.0
82,4980,True,409,8894,1948,6,0.0,3,67.0,63.0
110,14494,True,3489,7081,1949,6,0.0,4,95.0,78.0
84,8265,True,3737,1373,1949,6,0.0,2,92.0,80.0
114,13335,True,4067,6776,1949,6,0.0,2,83.0,74.0
96,1895,True,1415,2073,1949,17,-0.16666666666666666,3,67.0,63.0
87,5139,True,1939,8558,1949,3,0.0,2,67.0,63.0
101,3306,True,104,100,1949,6,0.0,3,67.0,63.0
102,3645,True,2548,5,1949,6,0.39999999999999997,5,64.0,80.0
87,2201,True,958,5319,1949,6,0.0,4,67.0,63.0
106,36381,True,1907,5804,1949,6,0.6,4,100.0,94.0
122,16502,True,9,7,1949,20,0.0,2,67.0,63.0
82,4801,True,3131,3966,1949,6,0.0,3,67.0,63.0
100,10204,True,1471,3446,1949,6,0.0,4,100.0,80.0
106,13335,True,4242,8611,1949,6,0.0,3,86.0,80.0
95,2841,True,805,1164,1949,31,0.0,1,67.0,63.0
73,13335,True,494,8808,1949,6,0.0,2,67.0,63.0
138,127110,True,104,6266,1950,6,0.0,3,99.0,94.0
93,2325,False,4108,2895,1950,6,0.0,5,67.0,63.0
100,1961,False,1808,8649,1950,27,0.0,1,67.0,63.0
96,1550,True,1151,7204,1950,6,0.0,4,67.0,63.0
93,8380,True,1307,1247,1950,17,-0.4,2,52.0,44.0
96,3818,True,1246,7350,1950,6,0.0,1,67.0,63.0
83,11602,True,488,3484,1949,20,0.0,1,67.0,63.0
84,1544,True,2723,8223,1950,31,0.0,2,67.0,63.0
105,13335,True,2849,5676,1950,10,0.0,3,67.0,63.0
92,10941,True,2905,7905,1950,6,0.0,4,70.0,70.0
102,1983,True,1437,5575,1950,6,0.0,3,67.0,63.0
90,1519,True,1809,5614,1950,5,0.0,2,67.0,63.0
101,13068,True,1306,8549,1950,6,0.0,4,67.0,63.0
106,4931,True,104,8882,1950,24,0.0,3,90.0,82.0
88,161820,True,9,3759,1950,31,0.0,1,98.0,93.0
91,1137,True,3217,6449,1949,6,0.0,4,83.0,69.0
93,5243,True,3131,6243,1950,14,0.0,2,67.0,63.0
104,3890,True,9,7,1950,13,0.0,1,67.0,63.0
110,13796,True,5,5296,1950,5,0.0,2,37.0,27.0
110,213309,True,123,5454,1950,18,0.0,2,67.0,63.0
106,1835,True,3031,4470,1950,6,0.0,3,100.0,72.0
92,19181,True,2723,4836,1950,5,0.0,2,100.0,86.0
114,32528,True,2905,5039,1951,6,0.0,4,96.0,79.0
99,2314,True,958,8611,1951,6,0.0,4,83.0,63.0
114,4439,True,4077,8410,1951,21,0.85,1,16.0,55.0
111,34375,True,123,2403,1951,6,0.0,4,67.0,63.0
117,6510,True,4119,2959,1951,6,0.0,3,100.0,77.0
79,2334,True,3191,1628,1951,3,0.0,2,67.0,63.0
119,2634,True,2605,8977,1951,6,0.0,3,100.0,71.0
166,4929,True,9,7,1951,31,-0.8,2,67.0,63.0
83,1497,False,3046,3674,1951,10,0.0,2,67.0,63.0
118,1241,True,896,294,1951,6,0.5,3,67.0,63.0
88,1448,True,3740,6627,1952,3,0.0,5,67.0,63.0
82,6857,True,2657,1600,1951,6,-0.6,3,94.0,78.0
68,1106,False,2409,4063,1951,6,0.0,3,67.0,63.0
107,4348,True,1469,1192,1952,7,-0.1875,6,67.0,63.0
85,1262,True,1864,3565,1951,10,0.0,2,67.0,63.0
89,2645,True,1948,6089,1951,6,0.0,1,67.0,63.0
86,21457,True,1373,4870,1951,6,0.0,3,100.0,74.0
108,4598,True,104,100,1952,18,0.0,2,67.0,63.0
70,2135,False,524,3448,1952,6,0.0,6,67.0,63.0
74,2431,False,759,7448,1952,8,0.0,6,29.0,16.0
90,2109,False,2650,10028,1952,5,0.0,3,67.0,63.0
