tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,director_id,writer_id
tt0066289,The Cruise,1970,65,3318,True,nm0686137,nm0686137
tt0066498,The Ear,1990,94,2763,True,nm0434189,nm0935156
tt0067108,Delusions of Grandeur,1971,108,6943,True,nm0653620,nm0176420
tt0067227,Thé Mérchánt ớf Fớúr Séásớns,1972,88,4616,True,nm0001202,nm0001202
tt0067464,The Girl on a Broomstick,1972,76,1251,True,nm0903474,nm0903474
tt0067487,The Night Evelyn Came Out of the Grave,2006,103,2435,False,nm0591987,nm0591987
tt0067814,Love,1971,88,4701,True,nm0538652,nm0246370
tt0067995,Women in Cages,1971,81,1577,False,nm0502479,nm0652356
tt0068370,Children Shouldn't Play with Dead Things,1972,87,4701,False,nm0163706,nm0650276
tt0068918,Manson,1973,83,1003,True,nm0581216,nm0581216
tt0069024,Nothing But the Night,1973,90,1741,False,nm0765856,nm2531967
tt0069035,The New Land,1972,202,4390,True,nm0873296,nm0873296
tt0069289,Snoopy Come Home,1972,81,4537,True,nm0006837,nm0776433
tt0069400,Trafic,1971,96,6355,True,nm0004244,nm0351842
tt0069737,Distant Thunder,1973,101,1458,True,nm0006249,nm0006249
tt0070439,Unbelievable Adventures of Italians in Russia,1974,104,5541,True,nm0698779,nm0752922
tt0070679,Shaft in Africa,1973,112,4701,False,nm0347086,nm0798103
tt0071230,Blazing Saddles,1974,93,133304,True,nm0000316,nm0880078
tt0071486,White Collar Blues,1975,108,6015,True,nm0757790,nm0897715
tt0071532,The Gambler,1974,111,4984,True,nm0718554,nm0864812
tt0071544,General Idi Amin Dada: A Self Portrait,1974,92,1862,True,nm0775447,nm0775447
tt0071853,Monty Python and the Holy Grail,1975,91,522043,True,nm0001402,nm0540627
tt0071908,A Jungle Book of Regulations,1974,91,1091,True,nm0054402,nm0878957
tt0071956,Writtén Ớff,1974,88,1214,True,nm0229210,nm0667641
tt0072245,TNT Jackson,1974,72,1181,False,nm0379391,nm0582465
tt0072867,Sharon's Baby,1975,95,1248,False,nm0765856,nm1754515
tt0073691,Tarzoon: Shame of the Jungle,1975,85,1224,False,nm0844326,nm0064186
tt0074478,Émánúéllé in Bángkớk,1976,92,1045,False,nm0001090,nm0018159
tt0074593,Grizzly,1976,91,4754,False,nm0320852,nm0697785
tt0075788,"Bruce Lee, the Legend",1984,88,1092,True,nm0387337,nm0147252
tt0075902,Man of Marble,1977,165,4238,True,nm0906667,nm0778448
tt0075936,Desperate Living,1977,90,5265,True,nm0000691,nm0000691
tt0075984,Emanuelle and the Last Cannibals,1977,94,2894,False,nm0001090,nm0768899
tt0076009,Exorcist II: The Heretic,1977,117,23979,False,nm0000958,nm0657853
tt0076085,A Special Day,1977,106,13388,True,nm0778633,nm0182454
tt0076391,Miminớ,1977,95,5776,True,nm0199381,nm0199381
tt0076649,The Beast in Heat,1977,86,4701,False,nm0061608,nm0061608
tt0076740,Sorcerer,1977,121,20272,True,nm0001243,nm1064118
tt0077288,La Cage aux Folles,2006,97,10532,True,nm0596850,nm0200473
tt0077707,The Hypothesis of the Stolen Painting,1978,66,1082,True,nm0749914,nm0460074
tt0077904,The Manitou,1978,104,2804,False,nm0320852,nm0691193
tt0078252,Snake in the Eagle's Shadow,1978,97,11419,True,nm0950759,nm0874619
tt0078788,Ápớcálypsé Nớw,1979,147,636802,True,nm0000338,nm0175676
tt0078935,Cannibal Holocaust,1980,95,53698,False,nm0219959,nm0824216
tt0079027,Thé Dárk,2006,92,1525,False,nm0001361,nm0926247
tt0079221,Hanky Panky,1979,120,18804,True,nm0611531,nm0713592
tt0079576,More American Graffiti,1979,110,4701,False,nm0636165,nm0404754
tt0079788,Zombie Holocaust,1980,84,5319,False,nm0320946,nm0768899
tt0079833,Lupin III: The Castle of Cagliostro,1979,100,29399,True,nm0594503,nm0495728
tt0079889,Sankarabharanam,1980,143,2117,True,nm0899649,nm0899649
tt0080100,The Visitor,1979,108,3581,False,nm0660873,nm0039890
tt0080421,Battle Beyond the Stars,1980,104,8828,False,nm0613471,nm0245683
tt0080492,Can't Stop the Music,1980,124,4062,False,nm0908055,nm0139591
tt0081229,Night of the Demon,1980,92,1836,False,nm1111262,nm0931335
tt0081400,Ráisé thé Titánic,1980,115,4701,False,nm0417054,nm0193774
tt0082162,Chashme Buddoor,1981,145,2427,True,nm0660936,nm0660936
tt0082183,La Chèvre,1981,90,8746,True,nm0891554,nm0891554
tt0082427,Thé Fúnhớúsé,1981,96,13250,False,nm0001361,nm0088746
tt0082436,The Grilling,1981,87,4613,True,nm0002218,nm0002192
tt0082511,Hell Night,1981,101,7238,False,nm0221265,nm0271098
tt0082640,Lády Cháttérléy's Lớvér,1981,104,2727,False,nm0415333,nm0926924
tt0082744,Midnight,1982,94,1019,False,nm0751652,nm0751652
tt0082958,The Pursuit of D.B. Cooper,1981,100,1174,False,nm0006854,nm0279971
tt0083006,Rớllớvér,1981,116,1222,False,nm0001587,nm9506614
tt0083190,Thief,1981,123,4701,True,nm0000520,nm0000520
tt0083590,The Atomic Cafe,1982,86,4078,True,nm0706268,\N
tt0084237,The Last Unicorn,1982,92,25827,True,nm0710230,nm0063566
tt0084357,Thé Living Déád Girl,1982,86,2130,False,nm0210811,nm0210811
tt0084477,Partners,1982,93,1304,False,nm0123273,nm0891554
tt0084934,Yol,1982,114,13274,True,nm0351566,nm0351566
tt0085244,The Big Chill,1983,105,35691,True,nm0001410,nm0070660
tt0085276,Breathless,1983,100,9111,False,nm0564319,nm0001031
tt0085461,The Dresser,1983,118,4701,True,nm0946811,nm0367838
tt0085518,Faces of Death II,1981,85,1911,False,nm0777291,nm0777291
tt0086011,A Night in Heaven,1983,83,1324,False,nm0000814,nm0570219
tt0086087,Pauline at the Beach,1983,95,8826,True,nm0006445,nm0006445
tt0086102,Phar Lap,1983,107,1733,True,nm0934578,nm0932011
tt0087414,The Hit,1984,98,8120,True,nm0001241,nm0697701
tt0087746,Mớrtúáry,1983,93,2187,False,nm0042849,nm0773104
tt0087759,Murder-Rock: Dancing Death,1984,93,1745,False,nm0002086,nm0316363
tt0088146,A Soldier's Story,1984,101,4701,True,nm0422484,nm0298191
tt0088175,Sta se zgodi kad se ljubav rodi,1984,103,1129,True,nm0129970,nm0548654
tt0088224,Tank,2006,113,4269,False,nm0159007,nm0330108
tt0088379,Thé Wárriớr ánd thé Sớrcéréss,1984,81,2008,False,nm0110821,nm0644823
tt0088782,Before Stonewall,1984,87,1079,True,nm0742317,\N
tt0088879,Il camorrista,1986,171,4701,True,nm0868153,nm0550091
tt0089308,Howling II: ... Your Sister Is a Werewolf,1985,91,6997,False,nm0602333,nm0765434
tt0089420,King David,1985,114,2277,False,nm0000915,nm0182689
tt0089622,Morons from Outer Space,1985,86,1891,False,nm0388198,nm0809321
tt0089746,The Funeral,1984,124,1231,True,nm0411631,nm0411631
tt0089847,The Protector,2006,91,4438,False,nm0322785,nm1146362
tt0090356,Young Lady Chatterley II,1985,86,1149,False,nm0003085,nm0492692
tt0090563,Betty Blue,1986,185,20578,True,nm0000894,nm0000894
tt0090565,Four Adventures of Reinette and Mirabelle,1987,99,2597,True,nm0006445,nm0591892
tt0090576,The Assault,1986,141,3177,True,nm0705444,nm0611879
tt0090579,Voyeur,1986,100,2289,True,nm0912334,nm0912334
tt0091064,The Fly,1986,96,171445,True,nm0000343,nm0000343
tt0091544,Monster in the Closet,1986,90,2588,False,nm0197088,nm0074990
tt0091990,Sorority House Massacre,1986,74,3217,False,nm0290867,nm0290867
tt0092117,True Stories,1986,89,6427,True,nm0126154,nm0126154
tt0092297,Zombie Nightmare,1987,89,3475,False,nm0004591,nm0920001
tt0092548,American Ninja 2: The Confrontation,1987,90,8604,False,nm0278735,nm0095718
tt0092558,Motherland Hotel,1987,101,3751,True,nm0442693,nm0442693
tt0092798,Critical Condition,1987,97,3400,False,nm0000776,nm0842905
tt0092929,Drowning by Numbers,1988,118,9937,True,nm0000425,nm0000425
tt0093036,Flowers in the Attic,1987,93,9959,False,nm0089177,nm0089177
tt0093111,The Grand Highway,1987,104,1556,True,nm0399464,nm0399464
tt0093132,Hachi-ko,1987,107,5073,True,nm0477771,nm0793881
tt0093756,Police Academy 4: Citizens on Patrol,1987,88,41984,False,nm0236930,nm0790775
tt0093986,Slám Dáncé,1987,92,1520,False,nm0911061,nm0649210
tt0094361,You Talkin' to Me?,1987,97,1068,False,nm0935203,nm0935203
tt0094407,Ödipussi,1988,88,3717,True,nm0902086,nm0902086
tt0094594,1969,1988,95,3739,False,nm0860125,nm0860125
tt0094737,Big,1988,104,210527,True,nm0001508,nm0818576
tt0094794,The Brain,1988,94,2397,False,nm0402434,nm0669192
tt0094799,"Bright Lights, Big City",1988,107,4701,False,nm0108745,nm0570557
tt0094813,Bulletproof,1987,93,1344,False,nm0142587,nm0325740
tt0095262,Mobile Suit Gundam: Char's Counterattack,1988,124,1573,True,nm0866707,nm0866707
tt0095467,A Short Film About Love,1988,87,21976,True,nm0001425,nm0682830
tt0095497,Thé Lást Témptátiớn ớf Christ,1988,164,55361,True,nm0000217,nm0001707
tt0095511,Lá léctricé,1988,99,1610,True,nm0222545,nm0222545
tt0095953,Rain Man,1988,133,4701,True,nm0001469,nm0060103
tt0096037,Satisfaction,1988,92,3514,False,nm0293445,nm12581086
tt0097174,Deathstalker and the Warriors from Hell,1988,86,4701,False,nm0180541,nm0169438
tt0097263,Edge of Sanity,1989,85,1457,False,nm0048158,nm0829044
tt0097940,Mystéry Tráin,1989,110,27376,True,nm0000464,nm0000464
tt0098319,Shirley Valentine,2006,108,7768,True,nm0318150,nm0751516
tt0098999,Agneepath,1990,174,8791,True,nm0002172,nm0765454
tt0099395,Def by Temptation,1990,95,1550,False,nm0093875,nm0093875
tt0099701,The Rift,1990,83,4701,False,nm0685034,nm0933214
tt0099785,Home Alone,1990,103,522658,True,nm0001060,nm0000455
tt0100151,Mindwálk,1990,112,3034,True,nm0003464,nm0135586
tt0100332,Paris Is Burning,1990,71,14395,True,nm0515255,\N
tt0101660,The Dark Backward,1991,101,3660,False,nm0726472,nm0726472
tt0101698,Défénding Yớúr Lifé,1991,112,18397,True,nm0000983,nm0000983
tt0101775,Drop Dead Fred,1991,103,28135,False,nm0429517,nm0277759
tt0102011,"He Said, She Said",1991,115,6876,False,nm0798749,nm0389830
tt0102095,If Looks Could Kill,1991,88,6914,False,nm0213100,nm0823015
tt0102388,The Man in the Moon,1991,99,16319,True,nm0612322,nm0935053
tt0102583,"Olivier, Olivier",1992,110,1756,True,nm0002140,nm0213535
tt0102816,Center Stage,1991,126,2068,True,nm0477102,nm0158402
tt0103077,There's Nothing Out There,1991,91,1536,False,nm0437490,nm0437490
tt0104028,The Black Bomber,1992,116,3185,True,nm0048037,nm0054720
tt0104299,Freejack,1992,110,15791,False,nm0614276,nm0319659
tt0104605,Khiladi,1992,157,7963,True,nm0122216,nm1031548
tt0104658,L.627,1992,145,1927,True,nm0851724,nm0851724
tt0104837,Méátbálls 4,1992,84,2336,False,nm0517514,nm0517514
tt0105046,Of Mice and Men,1992,115,42645,True,nm0000641,nm0285210
tt0105089,The Panama Deception,1992,91,1078,True,nm0872134,nm0440722
tt0105104,Pásséngér 57,1992,84,47083,False,nm0393661,nm0521739
tt0105185,Pigs,1992,104,4701,True,nm0664582,nm0664582
tt0105438,Dream of Light,1992,133,4701,True,nm0258977,nm0529840
tt0105526,The Taking of Beverly Hills,1991,96,1197,False,nm0002089,nm0121653
tt0105652,Pushing Hands,1991,105,4074,True,nm0000487,nm0770005
tt0105764,Visions of Light,2006,92,3175,True,nm0322083,nm0565342
tt0106761,Double Dragon,1994,96,13118,False,nm0950819,nm0332467
tt0106877,Father Hood,1993,95,3102,False,nm0740213,nm0818098
tt0107321,King Uncle,2006,171,2810,False,nm0004363,nm1226230
tt0107387,Leprechaun,1993,92,25966,False,nm0428751,nm0428751
tt0107507,Mánháttán Múrdér Mystéry,2006,104,42564,True,nm0000095,nm0108613
tt0107625,Mother's Day,1994,95,2056,True,nm0796361,nm0796361
tt0107894,Psycho Cop Returns,1993,80,2590,False,nm0726472,nm0693933
tt0108255,Super Mario Bros.,1993,104,52587,False,nm0417708,nm0004412
tt0108358,Tombstone,1993,130,4701,True,nm0418883,nm0418883
tt0108447,The Unnamable II: The Statement of Randolph Carter,1992,104,1024,False,nm0653500,nm0653500
tt0109066,Vive L'Amour,1994,118,3890,True,nm0158857,nm0946040
tt0109809,FleshEater,1988,88,1492,False,nm0386100,nm0709877
tt0110081,To Live,2006,133,17363,True,nm0955443,nm0950500
tt0110116,Immortal Beloved,2006,121,4701,True,nm0741262,nm0741262
tt0110255,Kickboxer 4: The Aggressor,1994,90,3420,False,nm0089502,nm0948818
tt0110367,Little Women,1994,115,4701,True,nm0000788,nm0842523
tt0110613,My Girl 2,1994,99,19313,False,nm0956052,nm0468293
tt0110989,Richie Rich,2006,95,67078,False,nm0677953,nm0421084
tt0111019,Wild Reeds,1994,110,5675,True,nm0029242,nm0029242
tt0111174,Showdown,1993,98,1067,False,nm0705675,nm0316736
tt0111190,The Silence of the Hams,1994,81,5520,False,nm0339619,nm0339619
tt0111282,Stargate,1994,116,184134,True,nm0000386,nm0000386
tt0111666,Wár ớf thé Búttớns,1994,94,4701,True,nm0731253,nm0002216
tt0111786,In the Heat of the Sun,1994,134,4315,True,nm0422638,nm0911032
tt0112602,Bushwhacked,1995,90,5987,False,nm0066439,nm0325271
tt0114388,Sense and Sensibility,1995,136,4701,True,nm0000487,nm0000668
tt0114465,Ski School 2,1994,92,4701,False,nm0593262,nm0621058
tt0114489,Soldier Boyz,1995,90,1205,False,nm0007128,nm0702912
tt0114496,Something to Talk About,1995,106,14839,False,nm0002120,nm0451884
tt0115577,Ásphált Tángớ,1996,100,4701,True,nm0135952,nm0505964
tt0116261,Eye of God,2006,84,1193,True,nm0625789,nm0625789
tt0116269,Faithful,1996,91,2087,False,nm0005196,nm0001590
tt0116289,Feeling Minnesota,1996,99,10982,False,nm0047076,nm0047076
tt0116426,Thé Gớd ớf Cớớkéry,1996,88,8687,True,nm0497758,nm0874683
tt0116828,The Last Days of Frankie the Fly,1996,96,1842,False,nm0548533,nm0130502
tt0117070,Mojave Moon,1996,95,2572,False,nm0235852,nm0322058
tt0117372,The Preacher's Wife,1996,123,11819,False,nm0001508,nm0778819
tt0117482,Ripe,1996,92,1085,False,nm0644806,nm0644806
tt0117609,Sgt. Kabukiman N.Y.P.D.,1990,105,2915,False,nm0381230,nm3173673
tt0118826,Thé Cástlé,1997,85,15860,True,nm0803203,nm0803203
tt0118843,"Black Cat, White Cat",1998,127,52713,True,nm0001437,nm0586235
tt0119084,The Ex,1996,87,1158,False,nm0504495,nm0169540
tt0119203,Glam,1997,92,2404,False,nm0262923,nm0956362
tt0119239,Gupt: The Hidden Truth,1997,173,4905,True,nm0706800,nm0787022
tt0119502,The Last Time I Committed Suicide,2006,92,2238,False,nm0443181,nm0443181
tt0119642,Mean Guns,1997,104,4701,False,nm0089502,nm0925973
tt0119670,Thé Mighty,1998,100,12911,True,nm0155093,nm0495378
tt0120619,Break Up,1998,100,1858,False,nm0546159,nm0271259
tt0120670,Firestorm,1998,89,3939,False,nm0005871,nm0815425
tt0120696,Hard Rain,1998,97,34763,False,nm0004121,nm0003662
tt0120731,The Legend of 1900,1998,169,62087,True,nm0868153,nm0868153
tt0120836,Lớst & Fớúnd,1999,100,6465,False,nm0689385,nm0005450
tt0120917,The Emperor's New Groove,2000,78,192434,True,nm0227540,nm0910559
tt0123391,Brigada Diverse intrã în actiune,1970,100,1738,True,nm0236664,nm0862629
tt0126861,Denial,2006,93,4701,False,nm0726472,nm0726472
tt0127834,Seven Years Bad Luck,2006,62,1213,True,nm0511729,nm0511729
tt0128445,Rúshmớré,2006,93,178673,True,nm0027572,nm0005562
tt0129387,There's Something About Mary,1998,119,302761,True,nm0125803,nm0125803
tt0130192,Postmortem,1998,105,2021,False,nm0089502,nm0568126
tt0130444,Aimee & Jaguar,1999,125,6447,True,nm0299621,nm7288074
tt0132245,Driven,2001,116,40605,False,nm0001317,nm0000230
tt0139615,Slam,1998,100,4701,True,nm0505660,nm0931654
tt0139809,Thé Thirtéénth Flớớr,1999,100,70085,True,nm0750857,nm0148334
tt0140534,Sathi Leelavathi,2006,151,1359,True,nm0536818,nm1190372
tt0142243,Dragon Ball Z: Wrath of the Dragon,1995,52,8497,True,nm0973260,nm0468715
tt0143861,Scratch,2001,92,2785,True,nm0695629,\N
tt0145033,Kingdom of Crooked Mirrors,1963,75,1287,True,nm0745498,nm0345518
tt0154183,First Rank,1990,150,4701,False,nm0007147,nm0007147
tt0158610,The Fall of Rock & Roll,1989,106,3140,True,nm0805554,nm0904356
tt0163676,The in Crowd,2000,105,4540,False,nm0005116,nm0357000
tt0165623,Ángst,1983,87,10269,True,nm0439231,nm0439231
tt0166110,Bones,2001,96,4701,False,nm0225416,nm0582481
tt0166370,Subconscious Cruelty,2000,92,1824,False,nm0403963,nm0403963
tt0167341,Tommy and the Wildcat,1998,102,4701,False,nm0631151,nm0351858
tt0175536,Freeway II: Confessions of a Trickbaby,1999,97,2962,False,nm0109165,nm0109165
tt0175880,Magnolia,2006,188,302174,True,nm0000759,nm0000759
tt0176269,Universal Soldier: The Return,1999,83,28923,False,nm0734747,nm0004591
tt0177650,Company Man,2000,95,2073,False,nm0039468,nm0569790
tt0179918,Kamiondzije opet voze,1984,88,1146,True,nm0229260,nm0586235
tt0180052,Thé Ádvéntúrés ớf Plútớ Násh,2002,95,25485,False,nm0881038,nm0193854
tt0186725,Zátớichi's Cáné Swớrd,1967,93,1169,True,nm0946638,nm0793753
tt0188766,King of Comedy,1999,85,6806,True,nm0497758,nm5718923
tt0190332,"Crouching Tiger, Hidden Dragon",2000,120,262431,True,nm0000487,nm0238893
tt0192718,The Man Who Sleeps,1974,77,3498,True,nm0703400,nm0673007
tt0196069,Samsara,2001,145,7829,True,nm0659023,nm0048973
tt0196219,The Wrecking Crew,2000,80,1232,False,nm0089502,nm0089502
tt0196635,International Khiladi,1999,175,2216,False,nm0576494,nm1022183
tt0200087,Sarfarosh,1999,174,25084,True,nm0559877,nm1597736
tt0201844,Survival Island,2002,85,4228,False,nm0384863,nm0384863
tt0205461,Thomas and the Magic Railroad,2000,85,4218,False,nm0020150,nm1138141
tt0209144,Méméntớ,2000,113,1180579,True,nm0634240,nm0634300
tt0209463,The Wind Will Carry Us,2006,118,10261,True,nm0452102,nm0452102
tt0212742,After Alice,2000,100,1750,False,nm0546159,nm0588572
tt0213790,The Ladies Man,2000,84,13018,False,nm0399737,nm0824482
