Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,director_id,writer_id
267,tt0032617,I Love You Again,,1940,\N,99,3232.0,True,nm0886754,nm0475823
303,tt0034162,Thé Séá Wớlf,,1941,\N,100,3661.0,True,nm0002031,nm0518711
304,tt0034224,Spooks Run Wild,,1941,\N,65,1688.0,False,nm0005847,nm0377127
306,tt0034398,Thé Wớlf Mán,The Wolf Man,1941,\N,70,25976.0,True,nm0905729,nm0802561
313,tt0034587,Cat People,Cat People,1942,\N,73,,True,nm0869664,nm0090840
333,tt0035429,Wént thé Dáy Wéll?,,1942,\N,92,3549.0,True,nm0146709,nm0534191
365,tt0037017,Lifeboat,Lifeboat,1944,\N,97,28060.0,True,nm0000033,nm0372942
389,tt0037885,Love Letters,Love Letters,1945,\N,101,1544.0,True,nm0226189,nm0557398
424,tt0039208,Boomerang!,Boomerang!,1947,\N,88,,True,nm0001415,nm0653617
433,tt0039536,Kiss of Death,,1947,\N,99,8064.0,True,nm0368871,nm0242897
476,tt0040866,La Terra Trema,,1948,\N,160,4876.0,True,nm0899581,nm0899581
484,tt0041386,The Fountainhead,The Fountainhead,1949,\N,114,,True,nm0896542,nm0709446
486,tt0041460,The Hidden Room,,1949,\N,96,1895.0,True,nm0229424,nm0178785
493,tt0041699,Stray Dog,Nora inu,1949,\N,122,16502.0,True,nm0000041,nm0000041
505,tt0042209,At War with the Army,,1950,\N,93,2325.0,False,nm0907779,nm0277943
529,tt0043286,Angels in the Outfield,Angels in the Outfield,1951,\N,99,2314.0,True,nm0113284,nm0920216
531,tt0043338,Ace in the Hole,Ace in the Hole,1951,\N,111,34375.0,True,nm0000697,nm0221528
539,tt0043757,Lost Continent,Lost Continent,1951,\N,83,1497.0,False,nm0627864,nm0359034
542,tt0043879,On Dangerous Ground,On Dangerous Ground,1951,\N,82,6857.0,True,nm0526946,nm0124926
542,tt0043879,On Dangerous Ground,On Dangerous Ground,1951,\N,82,6857.0,True,nm0712947,nm0124926
548,tt0043959,Rawhide,,1951,\N,89,2645.0,True,nm0368871,nm0629580
553,tt0044320,Abbott and Costello Meet Captain Kidd,,1952,\N,70,2135.0,False,nm0006943,nm0335471
574,tt0045201,Thé Strángér in Bétwéén,Hunted,1952,\N,84,1030.0,True,nm0187769,nm0926525
578,tt0045465,99 River Street,99 River Street,\N,1953,83,2842.0,True,nm0439597,nm0668361
589,tt0045826,Glen or Glenda,,1953,\N,65,8491.0,False,nm0000248,nm0000248
603,tt0046375,The Stranger Wore a Gun,,\N,1953,83,,False,nm0211964,nm0192356
633,tt0047878,The Big Combo,,1955,\N,87,7256.0,True,nm0507390,nm0948634
651,tt0048473,Pather Panchali,Pather Panchali,1955,\N,125,29571.0,True,nm0006249,nm0006249
671,tt0049012,The Burmese Harp,Biruma no tategoto,1956,\N,116,5758.0,True,nm0406728,nm0905271
677,tt0049223,Forbidden Planet,,1956,\N,98,47621.0,True,nm0928208,nm0000636
692,tt0049615,"The Phantom from 10,000 Leagues","The Phantom from 10,000 Leagues",\N,1955,81,1700.0,False,nm0590377,nm0525563
725,tt0050665,Madhumati,,1958,\N,110,1394.0,True,nm0746950,nm0066074
753,tt0051845,The Last Hurrah,,1958,\N,121,3504.0,True,nm0000406,nm0640312
760,tt0052005,No Time for Sergeants,No Time for Sergeants,1958,\N,119,3938.0,True,nm0503777,nm0405188
769,tt0052216,Big Deal on Madonna Street,I soliti ignoti,1958,\N,106,10091.0,True,nm0598102,nm0130902
778,tt0052561,Ánátớmy ớf á Múrdér,Anatomy of a Murder,1959,\N,161,64067.0,True,nm0695937,nm0871261
780,tt0052600,Ballad of a Soldier,Ballada o soldate,1959,\N,88,10124.0,True,nm0161055,nm0947899
808,tt0053133,Odds Against Tomorrow,,1959,\N,96,4461.0,True,nm0936404,nm0453153
832,tt0053636,The Baroness from the Gas Station,Baronessen fra benzintanken,1960,\N,122,1086.0,True,nm0715862,nm0347708
848,tt0053987,The Steamroller and the Violin,Katok i skripka,1961,\N,46,6151.0,True,nm0001789,nm0001789
850,tt0054042,Macario,,1960,\N,91,3212.0,True,nm0310449,nm0310449
853,tt0054086,The Millionairess,The Millionairess,1960,\N,90,1791.0,False,nm0002190,nm0542554
901,tt0055184,The Misfits,,\N,1961,125,19925.0,True,nm0001379,nm0007186
919,tt0055630,Yojimbo,Yôjinbô,1961,\N,110,118426.0,True,nm0000041,nm0452878
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0001120,nm0560943
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0000019,nm0560943
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0899581,nm0560943
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0598102,nm0560943
924,tt0055824,Cape Fear,Cape Fear,1962,\N,106,28146.0,True,nm0496746,nm0916139
926,tt0055850,Chushingura,,\N,1962,207,2014.0,True,nm0408348,nm0946672
929,tt0055913,Divorce Italian Style,Divorzio all'italiana,1961,\N,105,12370.0,True,nm0314584,nm0408488
950,tt0056264,Mutiny on the Bounty,Mutiny on the Bounty,1962,\N,178,15843.0,True,nm0715346,nm0372942
950,tt0056264,Mutiny on the Bounty,Mutiny on the Bounty,1962,\N,178,15843.0,True,nm0587277,nm0372942
984,tt0057360,A New Kind of Love,A New Kind of Love,1963,\N,110,1397.0,False,nm0789520,nm0789520
999,tt0057715,Zatoichi the Fugitive,Zatôichi kyôjô-tabi,1963,\N,86,1712.0,True,nm0849080,nm0793753
1004,tt0057919,Carry on Jack,,1964,\N,91,2224.0,False,nm0858873,nm0745349
1006,tt0057935,Charulata,Charulata,1964,\N,117,5973.0,True,nm0006249,nm0006249
1021,tt0058311,Hércúlés Ágáinst thé Mớớn Mén,Maciste e la regina di Samar,1964,\N,90,1844.0,False,nm0313124,nm0762679
1034,tt0058564,Seduced and Abandoned,,1964,\N,118,,True,nm0314584,nm0769249
1048,tt0059012,Chimes at Midnight,Campanadas a medianoche,1965,\N,119,8655.0,True,nm0000080,nm0000080
1064,tt0059464,Monster a Go-Go,Monster a Go-Go,1965,\N,68,11387.0,False,nm0714215,nm0504496
1064,tt0059464,Monster a Go-Go,Monster a Go-Go,1965,\N,68,11387.0,False,nm0504496,nm0504496
1081,tt0059856,Vague Stars of Ursa...,Vaghe stelle dell'Orsa...,1965,\N,105,1913.0,True,nm0899581,nm0093650
1086,tt0060138,Au hasard Balthazar,,1966,\N,95,19440.0,True,nm0000975,nm0000975
1106,tt0060666,Mánớs: Thé Hánds ớf Fáté,Manos: The Hands of Fate,1966,\N,70,35858.0,False,nm0912849,nm0912849
1120,tt0061162,"War and Peace, Part II: Natasha Rostova",Voyna i mir II: Natasha Rostova,1966,\N,98,1414.0,True,nm0094083,nm0813537
1128,tt0061395,Belle de Jour,,1967,\N,100,42825.0,True,nm0000320,nm0140643
1151,tt0061709,Day of Anger,I giorni dell'ira,1967,\N,111,4590.0,True,nm0884547,nm1807881
1160,tt0061814,The Incident,,1967,\N,107,3929.0,True,nm0670282,nm0046296
1203,tt0063050,Thé Héárt Is á Lớnély Húntér,,1968,\N,123,3915.0,True,nm0589228,nm0752873
1205,tt0063135,Inspéctớr Clớúséáú,Inspector Clouseau,1968,\N,96,,False,nm0005570,nm0907186
1254,tt0064451,A Touch of Zen,,\N,1971,200,5981.0,True,nm0002254,nm0699700
1276,tt0065234,Z,Z,1969,\N,127,26606.0,True,nm0002020,nm0059553
1279,tt0065417,Days and Nights in the Forest,Aranyer Din Ratri,1970,\N,115,,True,nm0006249,nm0006249
1290,tt0065724,Fivé Éásy Piécés,Five Easy Pieces,1970,\N,98,,True,nm0706182,nm0706182
1296,tt0065955,Á Lớvé Stớry,En kärlekshistoria,\N,1970,115,6589.0,True,nm0027815,nm0027815
1314,tt0066491,Tristana,,1970,\N,99,11421.0,True,nm0000320,nm0701918
1318,tt0066516,Valerie and Her Week of Wonders,,\N,1970,77,9325.0,True,nm0423180,nm2236058
1353,tt0067164,Guddi,Guddi,1971,\N,121,1071.0,True,nm0611531,nm0611520
1382,tt0067927,Vanishing Point,Vanishing Point,1971,\N,99,28045.0,True,nm0764781,nm2264778
1416,tt0068659,Greaser's Palace,,\N,1972,91,1036.0,False,nm0002049,nm0002049
1445,tt0069452,Walter Defends Sarajevo,Valter brani Sarajevo,1972,\N,133,2487.0,True,nm0472954,nm0495848
1448,tt0069530,Z.P.G.,Z.P.G.,1972,\N,97,1405.0,False,nm0133384,nm0208342
1502,tt0071198,The Bat People,,1974,\N,93,2475.0,False,nm0417054,nm0789848
1517,tt0071622,The Clockmaker of St. Paul,L'horloger de Saint-Paul,1974,\N,105,2407.0,True,nm0851724,nm0851724
1530,tt0072263,Ten Little Indians,,1974,\N,105,,False,nm0172772,nm0515901
1548,tt0072934,A Pain in the Ass,L'emmerdeur,1973,\N,85,3125.0,True,nm0596850,nm0891554
1587,tt0074279,Cannonball!,Cannonball,1976,\N,93,4547.0,False,nm0000860,nm0800971
1591,tt0074312,Chinese Roulette,Chinesisches Roulette,1976,\N,86,4029.0,True,nm0001202,nm0001202
1596,tt0074441,The Duchess and the Dirtwater Fox,The Duchess and the Dirtwater Fox,1976,\N,103,1803.0,False,nm0291035,nm0741439
1599,tt0074475,Embryo,,1976,\N,104,,False,nm0625680,nm0858962
1612,tt0074633,Hollywood Boulevard,,1976,\N,83,1220.0,False,nm0035106,nm0649054
1612,tt0074633,Hollywood Boulevard,,1976,\N,83,1220.0,False,nm0001102,nm0649054
1636,tt0075268,Stáy Húngry,Stay Hungry,\N,1976,102,4377.0,False,nm0706182,nm0706182
1641,tt0075656,Thé Álién Fáctớr,The Alien Factor,1978,\N,80,1031.0,False,nm0230629,nm0230629
1668,tt0076245,Julia,Julia,\N,1977,117,9341.0,True,nm0003593,nm0765091
1680,tt0076709,Game of Death II,,1980,\N,96,3131.0,False,nm0628838,nm3814543
1680,tt0076709,Game of Death II,,1980,\N,96,3131.0,False,nm0005033,nm3814543
1680,tt0076709,Game of Death II,,1980,\N,96,3131.0,False,nm0477035,nm3814543
1702,tt0077372,Corvette Summer,,1978,\N,105,3059.0,False,nm0730422,nm0730422
1707,tt0077474,Thé Drivér,The Driver,1978,\N,91,15646.0,True,nm0001353,nm0001353
1748,tt0078846,Bénéáth thé Válléy ớf thé Últrá-Vixéns,,1979,\N,93,3035.0,False,nm0000540,nm0000540
1750,tt0078875,The Tin Drum,Die Blechtrommel,1979,\N,142,23497.0,True,nm0772522,nm0782704
1768,tt0079510,Thé Máin Évént,,1979,\N,112,,False,nm0956052,nm0807308
1773,tt0079596,My Brilliant Career,,1979,\N,100,4201.0,True,nm0000788,nm0291504
1781,tt0079855,Savage Weekend,Savage Weekend,1979,\N,88,1540.0,False,nm0667299,nm0667299
1781,tt0079855,Savage Weekend,Savage Weekend,1979,\N,88,1540.0,False,nm0456172,nm0667299
1790,tt0080117,The Wanderers,,1979,\N,112,10769.0,True,nm0442241,nm0442241
1809,tt0080707,The Exterminator,The Exterminator,1980,\N,104,5399.0,False,nm0322785,nm0322785
1812,tt0080853,The Hearse,The Hearse,1980,\N,99,2034.0,False,nm0101055,nm0855183
145,tt0025898,Tớni,Toni,1935,\N,84,1766.0,True,nm0719756,nm0251873
186,tt0028708,Charlie Chan at the Olympics,Charlie Chan at the Olympics,1937,\N,71,,True,nm0401680,nm0081788
278,tt0033045,The Shop Around the Corner,The Shop Around the Corner,\N,1940,99,30968.0,True,nm0523932,nm0372942
337,tt0035567,Woman of the Year,,1942,\N,114,9842.0,True,nm0828419,nm0536941
427,tt0039302,Dark Passage,,1947,\N,106,19034.0,True,nm0202681,nm0328959
561,tt0044741,Ikiru,,1952,\N,143,74694.0,True,nm0000041,nm0644823
567,tt0044982,Thé Flávớr ớf Gréén Téá Ớvér Ricé,,1952,\N,116,2833.0,True,nm0654868,nm0654868
652,tt0048488,The Phenix City Story,,1955,\N,100,2581.0,True,nm0439597,nm0537784
731,tt0050976,The Seventh Seal,Det sjunde inseglet,1957,\N,96,177539.0,True,nm0000005,nm0000005
781,tt0052609,Beast from Haunted Cave,Beast from Haunted Cave,\N,1959,72,1949.0,False,nm0375494,nm0341458
874,tt0054393,Tormented,Tormented,\N,1960,75,2496.0,False,nm0330026,nm0946753
960,tt0056636,A Monkey in Winter,,1962,\N,105,,True,nm0894577,nm0894577
964,tt0056860,Beach Party,,1963,\N,101,2069.0,False,nm0038906,nm0750870
1044,tt0058898,Alphaville,,1965,\N,99,24406.0,True,nm0000419,nm0959908
1082,tt0059878,Village of the Giants,,1965,\N,81,2316.0,False,nm0330026,nm0330026
1118,tt0061132,The Hawks and the Sparrows,,\N,1966,89,4609.0,True,nm0001596,nm0274721
1174,tt0062228,Our Folks,,1967,\N,81,3450.0,True,nm0154827,nm0611650
1231,tt0063790,Vớyágé tớ thé Plánét ớf Préhistớric Wớmén,,1968,\N,78,,False,nm0000953,nm0628633
1234,tt0063876,Bớy,Shônen,\N,1969,105,1569.0,True,nm0651915,nm0848797
1345,tt0067047,Emil of Lonneberga,,1971,\N,95,4084.0,True,nm0375224,nm0511807
1628,tt0075002,The Olsen Gang Sees Red,Olsen-banden ser rødt,1976,\N,100,2156.0,True,nm0050853,nm0046987
1712,tt0077651,Halloween,Halloween,1978,\N,91,260115.0,True,nm0000118,nm0384185
1726,tt0078087,Piranha,,1978,\N,94,20905.0,False,nm0001102,nm0000626
1759,tt0079117,Escape to Athena,Escape to Athena,1979,\N,125,4970.0,False,nm0181902,nm0181902
1777,tt0079764,Five Evenings,,1979,\N,108,1227.0,True,nm0586482,nm0901668
33,tt0015842,The Joyless Street,,1925,\N,125,1554.0,True,nm0655065,nm1680388
58,tt0018528,The Unknown,,1927,\N,63,7850.0,True,nm0115218,nm0727497
463,tt0040536,Letter from an Unknown Woman,,1948,\N,87,11921.0,True,nm0649097,nm0649097
619,tt0047296,On the Waterfront,On the Waterfront,1954,\N,108,149783.0,True,nm0001415,nm0802563
649,tt0048424,Thé Night ớf thé Húntér,The Night of the Hunter,1955,\N,92,86393.0,True,nm0001452,nm0001452
918,tt0055618,Whistle Down the Wind,Whistle Down the Wind,\N,1961,99,3328.0,True,nm0285302,nm0356227
974,tt0057083,Fun in Acapulco,Fun in Acapulco,1963,\N,97,3178.0,False,nm0861703,nm0918902
1066,tt0059529,Triumph Over Violence,Obyknovennyy fashizm,1965,\N,138,1666.0,True,nm0739677,nm0878014
1469,tt0070212,The Iceman Cometh,,1973,\N,239,1580.0,True,nm0001239,nm0642156
1552,tt0072979,Female Trouble,Female Trouble,1974,\N,89,8991.0,True,nm0000691,nm0000691
199,tt0029440,The Prince and the Pauper,,1937,\N,118,2482.0,True,nm0226189,nm0193693
199,tt0029440,The Prince and the Pauper,,1937,\N,118,2482.0,True,nm0445033,nm0193693
207,tt0029947,Bringing Up Baby,Bringing Up Baby,1938,\N,102,59515.0,True,nm0001328,nm0928444
335,tt0035446,To Be or Not to Be,,1942,\N,99,34514.0,True,nm0523932,nm0523932
1713,tt0077655,Last Hurrah for Chivalry,,1979,\N,106,,True,nm0000247,nm0000247
1745,tt0078784,A Respectable Life,,1979,\N,102,1140.0,True,nm0418724,nm0418724
41,tt0016544,The Wizard of Oz,,1925,\N,95,1497.0,False,nm0783865,nm0783865
720,tt0050545,Invásiớn ớf thé Sáúcér Mén,Invasion of the Saucer Men,1957,\N,69,1812.0,False,nm0128715,nm0265640
1392,tt0068205,Love in the Afternoon,,1972,\N,97,7639.0,True,nm0006445,nm0006445
507,tt0042235,Beauty and the Devil,,1950,\N,96,1550.0,True,nm0163229,nm0757415
1621,tt0074860,Marathon Man,Marathon Man,1976,\N,125,61375.0,True,nm0772259,nm0001279
5,tt0011439,The Mark of Zorro,The Mark of Zorro,1920,\N,79,2439.0,True,nm0629243,nm0001196
10,tt0012532,Ớrpháns ớf thé Stớrm,,1921,\N,150,,True,nm0000428,nm0180077
13,tt0013933,The Faithful Heart,Coeur fidèle,1923,\N,87,1252.0,True,nm0258477,nm0258477
31,tt0015400,The Thief of Bagdad,,1924,\N,155,6001.0,True,nm0909825,nm0008280
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0629243,nm0385012
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0102643,nm0385012
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0127511,nm0385012
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0169905,nm0385012
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0002271,nm0385012
49,tt0017463,3 Bad Men,3 Bad Men,1926,\N,92,1165.0,True,nm0000406,nm0817809
55,tt0018379,7th Heaven,7th Heaven,1927,\N,110,3499.0,True,nm0097648,nm0129721
60,tt0018684,Beggars of Life,Beggars of Life,\N,1928,100,1093.0,True,nm0920074,nm0322227
86,tt0021884,Frankenstein,Frankenstein,1931,\N,70,69780.0,True,nm0001843,nm0282984
100,tt0022787,Wooden Crosses,,1932,\N,115,1409.0,True,nm0076368,nm0233593
105,tt0023303,One Hour with You,One Hour with You,1932,\N,78,2389.0,True,nm0002030,nm0710723
105,tt0023303,One Hour with You,One Hour with You,1932,\N,78,2389.0,True,nm0523932,nm0710723
114,tt0023937,Pássing Fáncy,Dekigokoro,1933,\N,100,1306.0,True,nm0654868,nm0407456
121,tt0024127,Our Flags Lead Us Forward,,1933,\N,95,1733.0,False,nm0826094,nm0770948
170,tt0028021,Osaka Elegy,,1936,\N,71,2253.0,True,nm0003226,nm0645432
194,tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,1937,\N,91,8144.0,True,nm0564970,nm0495270
201,tt0029608,Stella Dallas,Stella Dallas,1937,\N,106,5254.0,True,nm0896542,nm0700717
212,tt0030241,Hớlidáy,,\N,1938,95,15746.0,True,nm0002030,nm0118227
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0281808,nm0842485
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0002030,nm0842485
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0939992,nm0842485
246,tt0031951,Sớn ớf Fránkénstéin,Son of Frankenstein,1939,\N,99,9957.0,True,nm0498174,nm0791217
267,tt0032617,I Love You Again,,1940,\N,99,3232.0,True,nm0886754,nm0649183
303,tt0034162,Thé Séá Wớlf,,1941,\N,100,3661.0,True,nm0002031,nm0744035
304,tt0034224,Spooks Run Wild,,1941,\N,65,1688.0,False,nm0005847,nm0547949
333,tt0035429,Wént thé Dáy Wéll?,,1942,\N,92,3549.0,True,nm0146709,nm0604610
365,tt0037017,Lifeboat,Lifeboat,1944,\N,97,28060.0,True,nm0000033,nm0000033
389,tt0037885,Love Letters,Love Letters,1945,\N,101,1544.0,True,nm0226189,nm0709446
424,tt0039208,Boomerang!,Boomerang!,1947,\N,88,,True,nm0001415,nm0614645
433,tt0039536,Kiss of Death,,1947,\N,99,8064.0,True,nm0368871,nm0513787
476,tt0040866,La Terra Trema,,1948,\N,160,4876.0,True,nm0899581,nm0894015
493,tt0041699,Stray Dog,Nora inu,1949,\N,122,16502.0,True,nm0000041,nm0452878
505,tt0042209,At War with the Army,,1950,\N,93,2325.0,False,nm0907779,nm0020104
529,tt0043286,Angels in the Outfield,Angels in the Outfield,1951,\N,99,2314.0,True,nm0113284,nm0455510
531,tt0043338,Ace in the Hole,Ace in the Hole,1951,\N,111,34375.0,True,nm0000697,nm0628305
539,tt0043757,Lost Continent,Lost Continent,1951,\N,83,1497.0,False,nm0627864,nm0949363
542,tt0043879,On Dangerous Ground,On Dangerous Ground,1951,\N,82,6857.0,True,nm0526946,nm0712947
542,tt0043879,On Dangerous Ground,On Dangerous Ground,1951,\N,82,6857.0,True,nm0712947,nm0712947
553,tt0044320,Abbott and Costello Meet Captain Kidd,,1952,\N,70,2135.0,False,nm0006943,nm0227481
574,tt0045201,Thé Strángér in Bétwéén,Hunted,1952,\N,84,1030.0,True,nm0187769,nm0565251
578,tt0045465,99 River Street,99 River Street,\N,1953,83,2842.0,True,nm0439597,nm0439597
603,tt0046375,The Stranger Wore a Gun,,\N,1953,83,,False,nm0211964,nm0303930
651,tt0048473,Pather Panchali,Pather Panchali,1955,\N,125,29571.0,True,nm0006249,nm0051808
671,tt0049012,The Burmese Harp,Biruma no tategoto,1956,\N,116,5758.0,True,nm0406728,nm0847633
677,tt0049223,Forbidden Planet,,1956,\N,98,47621.0,True,nm0928208,nm1051864
692,tt0049615,"The Phantom from 10,000 Leagues","The Phantom from 10,000 Leagues",\N,1955,81,1700.0,False,nm0590377,nm0750870
725,tt0050665,Madhumati,,1958,\N,110,1394.0,True,nm0746950,nm0315547
753,tt0051845,The Last Hurrah,,1958,\N,121,3504.0,True,nm0000406,nm0637793
760,tt0052005,No Time for Sergeants,No Time for Sergeants,1958,\N,119,3938.0,True,nm0503777,nm0505615
769,tt0052216,Big Deal on Madonna Street,I soliti ignoti,1958,\N,106,10091.0,True,nm0598102,nm0598102
778,tt0052561,Ánátớmy ớf á Múrdér,Anatomy of a Murder,1959,\N,161,64067.0,True,nm0695937,nm0562606
780,tt0052600,Ballad of a Soldier,Ballada o soldate,1959,\N,88,10124.0,True,nm0161055,nm0161055
808,tt0053133,Odds Against Tomorrow,,1959,\N,96,4461.0,True,nm0936404,nm0317254
832,tt0053636,The Baroness from the Gas Station,Baronessen fra benzintanken,1960,\N,122,1086.0,True,nm0715862,nm0647688
848,tt0053987,The Steamroller and the Violin,Katok i skripka,1961,\N,46,6151.0,True,nm0001789,nm0464846
850,tt0054042,Macario,,1960,\N,91,3212.0,True,nm0310449,nm0136061
853,tt0054086,The Millionairess,The Millionairess,1960,\N,90,1791.0,False,nm0002190,nm0032724
919,tt0055630,Yojimbo,Yôjinbô,1961,\N,110,118426.0,True,nm0000041,nm0000041
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0001120,nm0953790
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0000019,nm0953790
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0899581,nm0953790
923,tt0055805,Bớccácciớ '70,Boccaccio '70,1962,\N,205,4325.0,True,nm0598102,nm0953790
924,tt0055824,Cape Fear,Cape Fear,1962,\N,106,28146.0,True,nm0496746,nm0531792
929,tt0055913,Divorce Italian Style,Divorzio all'italiana,1961,\N,105,12370.0,True,nm0314584,nm0314584
950,tt0056264,Mutiny on the Bounty,Mutiny on the Bounty,1962,\N,178,15843.0,True,nm0715346,nm0310775
950,tt0056264,Mutiny on the Bounty,Mutiny on the Bounty,1962,\N,178,15843.0,True,nm0587277,nm0310775
999,tt0057715,Zatoichi the Fugitive,Zatôichi kyôjô-tabi,1963,\N,86,1712.0,True,nm0849080,nm0395961
1006,tt0057935,Charulata,Charulata,1964,\N,117,5973.0,True,nm0006249,nm0007173
1021,tt0058311,Hércúlés Ágáinst thé Mớớn Mén,Maciste e la regina di Samar,1964,\N,90,1844.0,False,nm0313124,nm0313124
1034,tt0058564,Seduced and Abandoned,,1964,\N,118,,True,nm0314584,nm0408488
1048,tt0059012,Chimes at Midnight,Campanadas a medianoche,1965,\N,119,8655.0,True,nm0000080,nm0390547
1064,tt0059464,Monster a Go-Go,Monster a Go-Go,1965,\N,68,11387.0,False,nm0714215,nm0714215
1064,tt0059464,Monster a Go-Go,Monster a Go-Go,1965,\N,68,11387.0,False,nm0504496,nm0714215
1081,tt0059856,Vague Stars of Ursa...,Vaghe stelle dell'Orsa...,1965,\N,105,1913.0,True,nm0899581,nm0899581
1120,tt0061162,"War and Peace, Part II: Natasha Rostova",Voyna i mir II: Natasha Rostova,1966,\N,98,1414.0,True,nm0094083,nm0094083
1128,tt0061395,Belle de Jour,,1967,\N,100,42825.0,True,nm0000320,nm0000320
1151,tt0061709,Day of Anger,I giorni dell'ira,1967,\N,111,4590.0,True,nm0884547,nm0313016
1203,tt0063050,Thé Héárt Is á Lớnély Húntér,,1968,\N,123,3915.0,True,nm0589228,nm0567111
1205,tt0063135,Inspéctớr Clớúséáú,Inspector Clouseau,1968,\N,96,,False,nm0005570,nm0907209
1254,tt0064451,A Touch of Zen,,\N,1971,200,5981.0,True,nm0002254,nm0002254
1276,tt0065234,Z,Z,1969,\N,127,26606.0,True,nm0002020,nm0002020
