column0,tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,director_id,writer_id,movie_age,log_numVotes,runtime_category
7097,tt1867093,The Samaritan,2012.0,90,9797.0,False,,,13.0,9.18993356219852,medium
7159,tt1935897,Ámityvillé: Thé Áwákéning,2017.0,87,13741.0,False,,,8.0,9.528212115591021,medium
7207,tt1997455,Naadodigal,2009.0,161,1244.0,True,,,16.0,7.126890808898808,very long
7482,tt2288005,A Turtle's Tale 2: Sammy's Escape from Paradise,2012.0,92,2229.0,False,,,13.0,7.709756864454165,long
7523,tt2322441,Fifty Shades of Grey,2015.0,125,308859.0,False,,,10.0,12.640643378776993,very long
7672,tt2476214,Ayalum Njanum Thammil...,2012.0,160,2776.0,True,,,13.0,7.9291264873067995,very long
7740,tt2608224,The Butterfly's Dream,2013.0,138,21495.0,True,,,12.0,9.975622150295328,very long
8176,tt3544082,45 Years,2015.0,91,32297.0,True,,,10.0,10.382760587789011,long
8465,tt4159182,Thé Lády in thé Cár with Glássés ánd á Gún,2015.0,93,2685.0,False,,,10.0,7.895808377083183,long
8673,tt4727512,Srimanthudu,2015.0,158,11923.0,True,,,10.0,9.386308454797962,very long
8767,tt4972582,Split,2016.0,117,462041.0,True,,,9.0,13.043411075022805,long
9247,tt6293032,My Son,2017.0,84,,False,,,8.0,,medium
9516,tt7384848,Missing,2018.0,120,2194.0,False,,,7.0,7.693937325509272,long
9723,tt8286926,Nján Prákáshán,2018.0,131,4009.0,True,,,7.0,8.296546520300614,very long
9912,tt9239552,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,2019.0,90,3072.0,True,,,6.0,8.030409562130485,medium
9913,tt9243946,El Camino: A Breaking Bad Movie,2019.0,122,210566.0,True,,,6.0,12.257559171247348,very long
6,tt0011607,The Parson's Widow,1920.0,94,1264.0,True,,,105.0,7.142827401161621,long
94,tt0022436,Street Scene,1931.0,80,1738.0,True,,,94.0,7.461065514354283,medium
197,tt0029310,Night Múst Fáll,1937.0,116,2497.0,True,,,88.0,7.823245690685523,long
227,tt0031235,Dodge City,1939.0,104,5061.0,True,,,86.0,8.529516941105069,long
249,tt0032138,The Wizard of Oz,1939.0,102,382348.0,True,,,86.0,12.854089083064217,long
257,tt0032284,Broadway Melody of 1940,1940.0,102,,True,,,85.0,,long
295,tt0033802,Ládiés in Rétirémént,1941.0,91,1282.0,True,,,84.0,7.1569563646156364,long
483,tt0041268,Criss Cross,1949.0,84,8265.0,True,,,76.0,9.019905995071678,medium
701,tt0049843,There's Always Tomorrow,1955.0,84,2777.0,True,,,70.0,7.9294865233142895,medium
791,tt0052805,First Man Into Space,1959.0,77,1434.0,False,,,66.0,7.268920128193722,medium
915,tt0055599,A Very Private Affair,1962.0,103,1049.0,False,,,63.0,6.956545443151569,long
1140,tt0061550,Gappa the Triphibian Monsters,1967.0,90,1536.0,False,,,58.0,7.337587743538596,medium
1411,tt0068611,Frenzy,1972.0,116,44037.0,True,,,53.0,10.69280817654473,long
1573,tt0073582,Deep Red,1975.0,127,36146.0,True,,,50.0,10.495349236591386,very long
1648,tt0075783,Breaker! Breaker!,1977.0,86,3241.0,False,,,48.0,8.08394570229562,medium
2435,tt0095687,My Stepmother Is an Alien,1988.0,105,25922.0,False,,,37.0,10.162885884509508,long
2598,tt0100156,Mirror Mirror,1990.0,104,1713.0,False,,,35.0,7.446585099157725,long
3101,tt0115530,American Buffalo,1996.0,88,3720.0,False,,,29.0,8.221747728346623,medium
3257,tt0119088,Éxécútivé Tárgét,1997.0,100,1081.0,False,,,28.0,6.9865664594064265,long
3321,tt0120190,Sprung,1997.0,105,1121.0,False,,,28.0,7.022868086082641,long
3375,tt0122735,Lucky and Zorba,1998.0,75,1687.0,True,,,27.0,7.431299675155903,medium
3655,tt0181328,Boulevard of the Revolution,1992.0,99,1105.0,True,,,33.0,7.00850518208228,long
3910,tt0248661,3 A.M.,2001.0,92,1308.0,False,,,24.0,7.1770187659099,long
4046,tt0271678,No: 20 Madras Mail,1990.0,177,1165.0,True,,,35.0,7.061334366910438,very long
4089,tt0280707,Gosford Park,2001.0,131,84800.0,True,,,24.0,11.348062614163295,very long
4164,tt0295721,Taxi 3,2003.0,84,41786.0,False,,,22.0,10.64034056535614,medium
4166,tt0296574,Company,2002.0,142,15140.0,True,,,23.0,9.625161575008372,very long
4184,tt0301245,Oysters at Nam Kee's,2002.0,99,1325.0,False,,,23.0,7.189922170745808,long
4400,tt0349467,Freedomland,2006.0,113,16091.0,False,,,19.0,9.686077533069678,long
4669,tt0396857,Shadowboxer,2005.0,93,6749.0,False,,,20.0,8.817297783866575,long
4758,tt0415489,Áméricán Crúdé,2008.0,96,,False,,,17.0,,long
4851,tt0428251,Vénớm,2005.0,87,10012.0,False,,,20.0,9.211639527707803,medium
5150,tt0488658,Unaccompanied Minors,2006.0,90,11161.0,False,,,19.0,9.320270431348378,medium
5159,tt0490076,All the Boys Love Mandy Lane,2006.0,90,32387.0,False,,,19.0,10.385543262806005,medium
5419,tt0871510,Chak De! India,2007.0,153,77964.0,True,,,18.0,11.264015287018985,very long
5497,tt0936471,Transylmania,2009.0,92,2685.0,False,,,16.0,7.895808377083183,long
5511,tt0953369,Disco,2008.0,103,1525.0,False,,,17.0,7.330405211844402,long
5517,tt0959342,Mind the Gap,2007.0,103,2038.0,False,,,18.0,7.620214770574455,long
5646,tt10308928,Force of Nature,2020.0,91,9862.0,False,,,5.0,9.196545660953994,long
6393,tt1370429,99,2009.0,135,2852.0,True,,,16.0,7.9561263512135,very long
6446,tt1407052,Wrinkles,2011.0,89,4148.0,True,,,14.0,8.330622620332868,medium
6553,tt1485763,One Piece: Strong World,2009.0,113,5039.0,True,,,16.0,8.525161361065415,long
6561,tt1489946,The Blackout,2009.0,80,1710.0,False,,,16.0,7.444833273892193,medium
6866,tt1691152,Dávid Lynch: Thé Árt Lifé,2016.0,88,,True,,,9.0,,medium
7205,tt1993391,10 Rules for Sleeping Around,2013.0,94,2902.0,False,,,12.0,7.97349996402463,long
7457,tt2257602,The Staircase II: The Last Chance,2013.0,130,2213.0,True,,,12.0,7.7025561132685825,very long
7508,tt2312184,All About the Money,2017.0,90,4179.0,False,,,8.0,8.338066525518801,medium
7614,tt2401223,Richard Pryor: Omit the Logic,2013.0,83,1595.0,True,,,12.0,7.3752557780097545,medium
8067,tt3334418,Living Among Us,2018.0,87,2744.0,False,,,7.0,7.917536353943631,medium
8518,tt4297380,Theresa & Allison,2019.0,120,1995.0,False,,,6.0,7.59890045687141,long
8626,tt4575576,Christopher Robin,2018.0,104,74017.0,True,,,7.0,11.212063585850709,long
8861,tt5222918,The Other Side of Hope,2017.0,100,11756.0,True,,,8.0,9.372204086867741,long
9085,tt5805252,Budhia Singh: Born to Run,2016.0,112,1462.0,True,,,9.0,7.288244401020124,long
9302,tt6506264,The Colony,2021.0,104,4335.0,False,,,4.0,8.374707543119483,long
9451,tt7150512,2040,2019.0,92,1150.0,True,,,6.0,7.048386408721883,long
9468,tt7230750,The Velvet Underground,2021.0,121,2281.0,True,,,4.0,7.732807530422021,very long
9571,tt7620554,Loqueesha,2019.0,98,1996.0,False,,,6.0,7.599401333415815,long
9734,tt8332666,Tớné-Déáf,2019.0,87,2579.0,False,,,6.0,7.855544677915663,medium
306,tt0034398,Thé Wớlf Mán,1941.0,70,25976.0,True,,,84.0,10.16496681011591,medium
548,tt0043959,Rawhide,1951.0,89,2645.0,True,,,74.0,7.880804344674901,medium
553,tt0044320,Abbott and Costello Meet Captain Kidd,1952.0,70,2135.0,False,,,73.0,7.666690200080086,medium
753,tt0051845,The Last Hurrah,1958.0,121,3504.0,True,,,67.0,8.16194579946869,very long
924,tt0055824,Cape Fear,1962.0,106,28146.0,True,,,63.0,10.245196055952587,long
1448,tt0069530,Z.P.G.,1972.0,97,1405.0,False,,,53.0,7.2485040723706105,long
1641,tt0075656,Thé Álién Fáctớr,1978.0,80,1031.0,False,,,47.0,6.939253946041508,medium
1809,tt0080707,The Exterminator,1980.0,104,5399.0,False,,,45.0,8.594154232552366,long
1933,tt0084028,Absurd,1981.0,96,2816.0,False,,,44.0,7.943427767876373,long
2164,tt0089501,Screwballs II,1985.0,92,1310.0,False,,,40.0,7.1785454837637,long
2343,tt0093593,On the Silver Globe,1988.0,166,3003.0,True,,,37.0,8.007700012884026,very long
2492,tt0097373,For Queen & Country,1988.0,105,2380.0,False,,,37.0,7.7752758464868625,long
2547,tt0098502,The Toxic Avenger Part III: The Last Temptation of Toxie,1989.0,102,4625.0,False,,,36.0,8.439447842791385,long
2595,tt0100112,The Hairdresser's Husband,1990.0,82,9501.0,True,,,35.0,9.159257581746866,medium
2686,tt0102943,Slacker,1990.0,97,21022.0,True,,,35.0,9.953372355465126,long
2783,tt0105888,And Life Goes On,1992.0,95,5587.0,True,,,33.0,8.628376720376853,long
2795,tt0106438,Blue,1993.0,79,2188.0,True,,,32.0,7.691200097522863,medium
3206,tt0117723,Spy Hard,1996.0,81,37349.0,False,,,29.0,10.528088190560963,medium
3224,tt0118138,Werner - Das muss kesseln!!!,1996.0,85,3158.0,False,,,29.0,8.058010800802085,medium
3354,tt0120753,The Million Dollar Hotel,2000.0,122,21369.0,False,,,25.0,9.969743348313193,very long
3676,tt0185584,Peculiarities of the National Fishing,1998.0,94,3571.0,True,,,27.0,8.18088094199639,long
3826,tt0233234,Land of Fear,1999.0,142,,True,,,26.0,,very long
3911,tt0248845,Hedwig and the Angry Inch,2001.0,95,34784.0,True,,,24.0,10.456941538357741,long
3953,tt0254686,The Piano Teacher,2001.0,131,60724.0,True,,,24.0,11.014110753870373,very long
4272,tt0317842,Broken Wings,2002.0,87,2417.0,True,,,23.0,7.790696031174738,medium
4309,tt0327597,Coraline,2009.0,100,,True,,,16.0,,long
4391,tt0347246,Ghost in the Shell 2: Innocence,2004.0,100,37604.0,True,,,21.0,10.534892299260504,long
4407,tt0350258,Ray,2004.0,152,143893.0,True,,,21.0,11.876832196384212,very long
4414,tt0353324,The Crow: Wicked Prayer,2005.0,99,8825.0,False,,,20.0,9.085457189829492,long
4503,tt0369436,Four Christmases,2008.0,88,69128.0,False,,,17.0,11.1437296033349,medium
4510,tt0372237,Gúéss Whớ,2005.0,105,41840.0,False,,,20.0,10.641631999026805,long
4535,tt0375782,"Gone, But Not Forgotten",2003.0,94,2252.0,False,,,22.0,7.720017940432244,long
4554,tt0377752,Dear Frankie,2004.0,105,21619.0,True,,,21.0,9.9813740911932,long
4577,tt0381361,The Last Sign,2005.0,91,,False,,,20.0,,long
4583,tt0381838,...ing,2003.0,104,2187.0,True,,,22.0,7.690743163541872,long
4747,tt0412922,Little Manhattan,2005.0,84,23381.0,True,,,20.0,10.059721774566764,medium
4863,tt0430589,Shaadi Karke Phas Gaya Yaar,2006.0,152,1232.0,False,,,19.0,7.117205503164344,very long
4923,tt0445336,"You, the Living",2007.0,95,15207.0,True,,,18.0,9.629576884168266,long
5059,tt0473360,Goal II: Living the Dream,2007.0,115,,False,,,18.0,,long
5068,tt0475169,13,2005.0,93,17270.0,True,,,20.0,9.756784073343919,long
5318,tt0810945,Live!,2007.0,96,4977.0,False,,,18.0,8.512783482927537,long
5348,tt0823668,Screamers,2006.0,89,1551.0,False,,,19.0,7.347299700743164,medium
6070,tt11953628,Máská,2020.0,111,,False,,,5.0,,long
6160,tt1244666,Fish Story,2009.0,113,2990.0,True,,,16.0,8.003363058629947,long
6252,tt1291547,Áftér Pớrn Énds,2012.0,94,7798.0,False,,,13.0,8.961750799330497,long
6292,tt1314177,Damage,2009.0,102,,False,,,16.0,,long
6305,tt1323044,Freeloaders,2012.0,77,1663.0,False,,,13.0,7.416979621381154,medium
6508,tt1447972,StreetDance 3D,2010.0,98,11240.0,False,,,15.0,9.327323087461798,long
6588,tt1510274,Lyubov v bolshom gorode 2,2010.0,89,,False,,,15.0,,medium
6601,tt1520498,The Oogieloves in the Big Balloon Adventure,2012.0,88,15292.0,False,,,13.0,9.635150486348124,medium
6714,tt1589427,Ev,2010.0,94,1040.0,False,,,15.0,6.947937068614969,long
6910,tt1721677,Fastest,2011.0,111,2304.0,True,,,14.0,7.742835955430749,long
7679,tt2497980,The Lookalike,2014.0,100,3759.0,False,,,11.0,8.23217423638394,long
7767,tt2675978,Dedh Ishqiya,2014.0,152,7119.0,True,,,11.0,8.87066300440602,very long
7897,tt2990126,100 Streets,2016.0,93,3996.0,False,,,9.0,8.293299358711323,long
7915,tt3033948,Echoes,2014.0,93,1502.0,False,,,11.0,7.315218389752975,long
8038,tt3274484,Ékskúrsánté,2013.0,110,,True,,,12.0,,long
8057,tt3315342,Logan,2017.0,137,,True,,,8.0,,very long
8241,tt3679000,Ány Bớdy Cán Dáncé 2,2015.0,154,6120.0,False,,,10.0,8.71948076085107,very long
8832,tt5154466,Bizans oyunlari: Geym of Bizans,2016.0,101,2871.0,False,,,9.0,7.962763930168115,long
9056,tt5727208,Uncut Gems,2019.0,135,251676.0,True,,,6.0,12.435901798322778,very long
9075,tt5779372,An Interview with God,2018.0,97,3740.0,False,,,7.0,8.227108234348146,long
9105,tt5851014,Savage Dog,2017.0,94,,False,,,8.0,,long
9508,tt7357302,Avicii: True Stories,2017.0,97,6577.0,True,,,8.0,8.791486026749002,long
9540,tt7511008,Paradise Beach,2019.0,93,2103.0,False,,,6.0,7.651595573857601,long
9544,tt7527538,Jefe,2018.0,89,1022.0,False,,,7.0,6.930494765951626,medium
9574,tt7634968,What Men Want,2019.0,117,27048.0,False,,,6.0,10.205405315014563,long
9591,tt7691572,Cyborgs: Heroes Never Die,2017.0,112,6835.0,True,,,8.0,8.829958044235482,long
9953,tt9543062,Hosts,2020.0,89,2206.0,False,,,5.0,7.699389406256737,medium
9995,tt9850344,Night Shift,2020.0,98,1325.0,False,,,5.0,7.189922170745808,long
129,tt0024593,Son of Kong,1933.0,70,4501.0,False,,,92.0,8.412277021466677,medium
330,tt0035228,The Courtyard of the Ballads,1942.0,121,1192.0,True,,,83.0,7.084226422097916,very long
458,tt0040427,He Walked by Night,1948.0,79,5714.0,True,,,77.0,8.65084957622891,medium
690,tt0049552,Nightfall,1956.0,78,3908.0,True,,,69.0,8.271036865792954,medium
745,tt0051484,Thé Cớlớssús ớf Néw Yớrk,1958.0,70,1074.0,False,,,67.0,6.980075940561763,medium
903,tt0055254,One Hundred and One Dalmatians,1961.0,79,161433.0,True,,,64.0,11.991851669386374,medium
936,tt0056049,The Naked Island,1960.0,96,,True,,,65.0,,long
992,tt0057569,The Terror,1963.0,81,7497.0,False,,,62.0,8.922391597295857,medium
1022,tt0058331,Mary Poppins,1964.0,139,165535.0,True,,,61.0,12.016943972803242,very long
1095,tt0060429,Frankie and Johnny,1966.0,87,1995.0,False,,,59.0,7.59890045687141,medium
1268,tt0064994,Lárks ớn á String,1969.0,94,1830.0,True,,,56.0,7.5126175446745105,long
1471,tt0070217,The Illumination,1973.0,91,1578.0,True,,,52.0,7.364547014255642,long
1565,tt0073363,Manila in the Claws of Light,1975.0,125,1690.0,True,,,50.0,7.43307534889858,very long
1650,tt0075793,We All Loved Each Other So Much,1974.0,124,6166.0,True,,,51.0,8.726967774991493,very long
1706,tt0077421,Despair,1978.0,119,2388.0,True,,,47.0,7.77863014732581,long
1874,tt0082700,Cannibal Ferox,1981.0,93,9676.0,False,,,44.0,9.177507214880942,long
1983,tt0085236,Béyớnd thé Limit,1983.0,104,1334.0,False,,,42.0,7.19668657083435,long
2152,tt0089108,Wáiting fớr thé Héársé,1985.0,94,6015.0,True,,,40.0,8.702177865629675,long
2218,tt0091019,Every Time We Say Goodbye,1986.0,95,2424.0,False,,,39.0,7.793586803371584,long
2422,tt0095389,Jack's Back,1988.0,97,3301.0,False,,,37.0,8.102283624480073,long
2461,tt0096256,They Live,1988.0,94,122365.0,True,,,37.0,11.714771832695192,long
2568,tt0099450,The Boyfriend School,1990.0,103,2811.0,False,,,35.0,7.941651252930556,long
2925,tt0110044,Holy Matrimony,1994.0,93,1481.0,False,,,31.0,7.301147805856032,long
2993,tt0112373,Anne Frank Remembered,1995.0,117,1151.0,True,,,30.0,7.049254841255837,long
3005,tt0112573,Braveheart,1995.0,178,996577.0,True,,,30.0,13.812082689530596,very long
3084,tt0114666,The Tie That Binds,1995.0,99,1174.0,False,,,30.0,7.069023426578259,long
3127,tt0116039,Day of the Warrior,1996.0,96,,False,,,29.0,,long
3213,tt0117894,Thinner,1996.0,93,29810.0,False,,,29.0,10.302632731899473,long
3298,tt0119792,Nil by Mouth,1997.0,128,,True,,,28.0,,very long
3836,tt0234748,Slime City,1988.0,81,1023.0,False,,,37.0,6.931471805599453,medium
4052,tt0273300,Jump Tomorrow,2001.0,97,1435.0,True,,,24.0,7.269616749608169,long
4097,tt0282386,Blood Feast 2: All U Can Eat,2002.0,92,1410.0,False,,,23.0,7.252053951852814,long
4681,tt0399295,Lord of War,2005.0,122,305301.0,True,,,20.0,12.62905672963502,very long
5119,tt0482629,The Ultimate Gift,2006.0,118,,True,,,19.0,,long
5215,tt0756683,The Man from Earth,2007.0,87,,True,,,18.0,,medium
5255,tt0780521,The Princess and the Frog,2009.0,97,134511.0,True,,,16.0,11.809408693375078,long
5426,tt0878804,The Blind Side,2009.0,129,312393.0,True,,,16.0,12.65202049061726,very long
5555,tt0986233,Hunger,2008.0,96,69004.0,True,,,17.0,11.14193424472214,long
6042,tt1186366,Morphine,2008.0,110,3216.0,True,,,17.0,8.076204527239026,long
6207,tt1273678,The Spy Next Door,2010.0,94,42907.0,False,,,15.0,10.66681356771732,long
6257,tt1294136,As Good as Dead,2010.0,100,1594.0,False,,,15.0,7.374629015218945,long
6349,tt1343704,Time You Change,2010.0,94,5435.0,False,,,15.0,8.600798775271034,long
6584,tt15094256,Parigettu Parigettu,2021.0,130,1286.0,True,,,4.0,7.160069207596127,very long
6671,tt1566648,Waiting for Superman,2010.0,111,11418.0,True,,,15.0,9.343033913701648,long
6700,tt1582546,Maryada Ramanna,2010.0,125,2649.0,True,,,15.0,7.882314918980268,very long
6713,tt1588878,The Late Bloomer,2016.0,90,,False,,,9.0,,medium
6809,tt1651323,Breaking Wind,2012.0,82,4749.0,False,,,13.0,8.465899897028686,medium
6861,tt1684564,The Victim,2011.0,83,2121.0,False,,,14.0,7.660114319173928,medium
6915,tt1723642,HOUBA! On the Trail of the Marsupilami,2012.0,105,3818.0,False,,,13.0,8.247743887225516,long
6999,tt1796652,Tokyo Family,2013.0,146,1985.0,True,,,12.0,7.593877844605118,very long
7044,tt1828232,Life Cycles,2010.0,47,1264.0,True,,,15.0,7.142827401161621,short
7235,tt2040367,Expecting,2013.0,87,1349.0,False,,,12.0,7.2078598714324755,medium
7299,tt2095649,Grace of Monaco,2014.0,103,19575.0,False,,,11.0,9.882059605122508,long
7400,tt2201251,The Hot Flashes,2013.0,99,1982.0,False,,,12.0,7.592366128519796,long
7422,tt2220642,Bad 25,2012.0,131,,True,,,13.0,,very long
7579,tt2374902,Metalhead,2013.0,97,6727.0,True,,,12.0,8.814033201652784,long
7713,tt2560792,Skybound,2017.0,82,7352.0,False,,,8.0,8.902863672196222,medium
7877,tt2948166,Train Driver's Diary,2016.0,85,1153.0,True,,,9.0,7.050989447068045,medium
8107,tt3431016,The Messenger,2015.0,101,1185.0,False,,,10.0,7.078341579557671,long
8215,tt3611266,Bank Chor,2017.0,120,2756.0,False,,,8.0,7.921898411023797,long
8341,tt3864024,Lazer Team,2015.0,102,,False,,,10.0,,long
8537,tt4331970,Béing 17,2016.0,116,6265.0,True,,,9.0,8.742893471512136,long
8633,tt4596814,S/O Satyamurthy,2015.0,162,4666.0,True,,,10.0,8.448271745949816,very long
8712,tt4833824,Úppi 2,2015.0,135,8077.0,True,,,10.0,8.996899596123358,very long
9027,tt5687416,Whát's Úp with Cintá 2,2016.0,123,1862.0,True,,,9.0,7.529943370601589,very long
9601,tt7765778,Áméricán Wispér,2020.0,91,,False,,,5.0,,long
9804,tt8688912,Chi La Sow?,2018.0,135,1701.0,True,,,7.0,7.43955930913332,very long
9880,tt9101540,Big Brother,2020.0,165,1922.0,False,,,5.0,7.56164174558878,very long
8,tt0012349,The Kid,1921.0,68,121452.0,True,,,104.0,11.707282635648502,medium
36,tt0015881,Greed,1924.0,140,9649.0,True,,,101.0,9.174713194333032,very long
70,tt0019412,Speedy,1928.0,85,3613.0,True,,,97.0,8.192570471152173,medium
73,tt0019655,Asphalt,1929.0,90,1530.0,True,,,96.0,7.333676395657684,medium
104,tt0023293,The Old Dark House,1932.0,72,10558.0,True,,,93.0,9.264733855806515,medium
106,tt0023395,East of Shanghai,1931.0,110,4225.0,False,,,94.0,8.349011198176003,long
173,tt0028141,The Prisoner of Shark Island,1936.0,96,2159.0,True,,,89.0,7.67786350067821,long
213,tt0030252,Hotel du Nord,1938.0,95,2613.0,True,,,87.0,7.868636894184167,long
218,tt0030643,Port of Shadows,1938.0,91,,True,,,87.0,,long
345,tt0036152,Thé Mémphis Béllé: Á Stớry ớf á Flying Fớrtréss,1944.0,45,1606.0,True,,,81.0,7.382124365737512,short
395,tt0038107,The Southerner,1945.0,92,3273.0,True,,,80.0,8.09376775793108,long
449,tt0039895,I Became a Criminal,1947.0,101,1539.0,True,,,78.0,7.3395376954076745,long
509,tt0042296,Caged,1950.0,96,3818.0,True,,,75.0,8.247743887225516,long
523,tt0042958,Scandal,1950.0,104,3890.0,True,,,75.0,8.266421472984554,long
630,tt0047682,Sound of the Mountain,1954.0,95,1763.0,True,,,71.0,7.475339236566737,long
1265,tt0064923,Sam Whiskey,1969.0,96,1449.0,False,,,56.0,7.27931883541462,long
2421,tt0095312,Hollywood Chainsaw Hookers,1988.0,75,3281.0,False,,,37.0,8.096208271650037,medium
2515,tt0097841,Marrakech Express,1989.0,110,2231.0,True,,,36.0,7.710653323501202,long
2726,tt0104391,Hard Hunted,1993.0,97,1102.0,False,,,32.0,7.005789019253503,long
2911,tt0109739,Ernest Goes to School,1994.0,89,2599.0,False,,,31.0,7.8632667240095735,medium
3027,tt0113189,GoldenEye,1995.0,130,250071.0,True,,,30.0,12.429504155380345,very long
3449,tt0137523,Fight Club,1999.0,139,1969585.0,True,,,26.0,14.493333926344821,very long
3527,tt0156323,Screwed,2000.0,81,9004.0,False,,,25.0,9.105535257610056,medium
4277,tt0318462,The Motorcycle Diaries,2004.0,126,99630.0,True,,,21.0,11.509228640125938,very long
4390,tt0347167,Thé Hérớ: Lớvé Stớry ớf á Spy,2003.0,160,2255.0,False,,,22.0,7.721348612617949,very long
4690,tt0402014,Ab Tak Chhappan,2004.0,129,8637.0,True,,,21.0,9.063926353520646,very long
4796,tt0421715,Thé Cúriớús Cásé ớf Bénjámin Búttớn,2008.0,166,620624.0,True,,,17.0,13.338482313781574,very long
4898,tt0439533,Dead Leaves,2004.0,55,3860.0,True,,,21.0,8.258681496264236,short
5076,tt0475783,Welcome to Dongmakgol,2005.0,133,6995.0,True,,,20.0,8.853093836138493,very long
5093,tt0478126,Cthulhu,2007.0,100,2077.0,False,,,18.0,7.639161171659173,long
5204,tt0498386,Thé Sláúghtér,2006.0,96,1119.0,False,,,19.0,7.02108396428914,long
5315,tt0810772,Belle Du Seigneur,2012.0,104,1332.0,False,,,13.0,7.195187320178709,long
5656,tt10332854,Álớné,2020.0,81,1027.0,False,,,5.0,6.93537044601511,medium
